Model,Scaler,TP,FP,FN,TN,Macro Precision,Macro Recall,Macro F1,Macro Accuracy,Macro Specificity,Micro Precision,Micro Recall,Micro F1,Micro Accuracy,Micro Specificity,Weights,Samples,Weighted Precision,Weighted Recall,Weighted F1,Weighted Accuracy,Weighted Specificity
AB,MinMax,[22. 32. 24.],[ 5. 66.  7.],[65. 10.  3.],[ 64.  48. 122.],0.6385129918143542,0.6345557380028273,0.6365282144717125,0.6666666666679488,0.7647750991899135,0.5,0.5,0.5,0.6666666666662394,0.7499999999995192,[0.55769231 0.26923077 0.17307692],[87 42 27],0.6763230795473747,0.4999999999994824,0.5749467058039935,0.6074950690348127,0.7943252975707591
AB,Robust,[47. 23. 21.],[17. 46.  2.],[40. 19.  6.],[ 52.  68. 127.],0.6602506038634539,0.6218755701506399,0.6404887897021846,0.7222222222235043,0.7782035135017749,0.5833333333330128,0.5833333333330128,0.5833333333330128,0.7222222222216526,0.7916666666661057,[0.55769231 0.26923077 0.17307692],[87 42 27],0.6573256340570709,0.5833333333328646,0.6181230511819383,0.675172583827712,0.7512772071730615
AB,MaxAbs,[75. 27. 22.],[13. 16.  3.],[12. 15.  5.],[ 56.  98. 126.],0.7867265680041594,0.7732469743951181,0.7799285332106838,0.8632478632491455,0.8826625039166022,0.7948717948706607,0.7948717948706607,0.7948717948706607,0.863247863246932,0.8974358974351331,[0.55769231 0.26923077 0.17307692],[87 42 27],0.7966655147167074,0.7948717948707439,0.795767644000304,0.8482495069046351,0.8531157168794835
AB,QT,[74. 24. 20.],[15. 20.  3.],[13. 18.  7.],[ 54.  94. 126.],0.7488268123329961,0.720914674936687,0.7346057013057045,0.8376068376081198,0.8613047617351098,0.7564102564092702,0.7564102564092702,0.7564102564092702,0.8376068376059721,0.8782051282044009,[0.55769231 0.26923077 0.17307692],[87 42 27],0.7610540412191108,0.7564102564094067,0.7587250432970508,0.823224852072288,0.8275040287964629
KNN,Normalizer,[67. 13. 10.],[33. 21. 12.],[20. 29. 17.],[ 36.  93. 117.],0.5022994652408969,0.48333637414138725,0.49263549997298645,0.7179487179500001,0.7481684494345971,0.5769230769227811,0.5769230769227811,0.5769230769227811,0.7179487179481593,0.7884615384609837,[0.55769231 0.26923077 0.17307692],[87 42 27],0.5552663512958312,0.576923076923141,0.5658875872130469,0.6920611439855029,0.6675822713816693
KNN,Standard,[74. 18. 18.],[21. 18.  7.],[13. 24.  9.],[ 48.  96. 122.],0.6663157894729018,0.6486042692933577,0.6573407453456785,0.8034188034200855,0.8278312903925356,0.7051282051274161,0.7051282051274161,0.7051282051274161,0.8034188034180255,0.8525641025634245,[0.55769231 0.26923077 0.17307692],[87 42 27],0.6936437246957242,0.7051282051276336,0.6993388188087372,0.788214990139349,0.7783656660506626
KNN,MinMax,[66. 20. 13.],[24. 29.  4.],[21. 22. 14.],[ 45.  85. 125.],0.6354008269963797,0.5720975491089287,0.6020898462801952,0.7564102564115386,0.7889267320638713,0.6346153846148669,0.6346153846148669,0.6346153846148669,0.7564102564095991,0.8173076923070821,[0.55769231 0.26923077 0.17307692],[87 42 27],0.6512174100402122,0.6346153846151072,0.6428092188323835,0.7311390532557199,0.7321648115773406
KNN,Robust,[76. 25. 20.],[15. 16.  4.],[11. 17.  7.],[ 54.  98. 125.],0.7594180886850315,0.7365140181221816,0.7477907124085303,0.8504273504286326,0.8704166888396766,0.7756410256399655,0.7756410256399655,0.7756410256399655,0.850427350426452,0.8878205128197669,[0.55769231 0.26923077 0.17307692],[87 42 27],0.7741608766457697,0.7756410256401159,0.7749002443296907,0.8378944773188363,0.8356090408794287
KNN,MaxAbs,[73. 21. 15.],[24. 19.  4.],[14. 21. 12.],[ 45.  95. 125.],0.6890170012648208,0.6315453384414932,0.6590305692838523,0.7991452991465813,0.8181664981456914,0.6987179487171844,0.6987179487171844,0.6987179487171844,0.7991452991445323,0.8493589743583024,[0.55769231 0.26923077 0.17307692],[87 42 27],0.6976924120363788,0.6987179487174429,0.6982048037951002,0.7773668639066075,0.7557815457203491
KNN,QT,[75. 25. 24.],[15. 13.  4.],[12. 17.  3.],[ 54. 101. 125.],0.7827903091047244,0.7820653165466863,0.7824276448823497,0.8632478632491455,0.8791886186642226,0.7948717948706607,0.7948717948706607,0.7948717948706607,0.863247863246932,0.8974358974351331,[0.55769231 0.26923077 0.17307692],[87 42 27],0.7902207441670344,0.7948717948707099,0.7925394458564944,0.8439349112438856,0.8426940611223313
DT,Normalizer,[70. 15. 19.],[29. 19.  4.],[17. 27.  8.],[ 40.  95. 125.],0.6581113780592579,0.6218147539981524,0.6394484094070314,0.7777777777790599,0.7940119087737808,0.6666666666660256,0.6666666666660256,0.6666666666660256,0.7777777777770657,0.8333333333326922,[0.55769231 0.26923077 0.17307692],[87 42 27],0.6560827634990124,0.6666666666661982,0.6613323718376575,0.7428500986206115,0.7153690596558062
