Min,Max,Count,Frequency Count,Sum,Mean,Variance,Standard Deviation,Skewness,Kurtosis,Excess Kurtosis,Image
1,127,1.0000000000000002,1099,80.96906278434942,80.9690627843494,1207.3984969378232,34.747640163582666,-0.7600496836312671,2.573245908772447,-0.4267540912275529,Volume Slice 45.bmp
1,143,1.0,2228,69.92235188509875,69.92235188509875,2283.627274181383,47.78731289977899,-0.25471716452720594,1.3642427178790815,-1.6357572821209185,Volume Slice 46.bmp
1,127,1.0,2904,69.24931129476585,69.24931129476585,2603.747761233675,51.02693172466551,-0.2261590477602977,1.2167543420828792,-1.7832456579171208,Volume Slice 47.bmp
1,127,1.0,4116,60.9868804664723,60.9868804664723,2789.0984673336225,52.81191595969249,0.09127423668746801,1.1223502850706135,-1.8776497149293865,Volume Slice 48.bmp
1,127,0.9999999999999999,7913,72.08113231391381,72.08113231391383,2508.982928479018,50.089748736433265,-0.34976617080974315,1.3121150747164785,-1.6878849252835215,Volume Slice 49.bmp
1,127,0.9999999999999999,9799,72.24369833656496,72.24369833656498,2720.7102814952837,52.16042831012111,-0.351540408932342,1.2368657345564655,-1.7631342654435345,Volume Slice 50.bmp
1,127,1.0000000000000002,11107,73.55775636985685,73.55775636985683,2733.548545897969,52.28334864847477,-0.3916947083258755,1.2620650689809934,-1.7379349310190066,Volume Slice 51.bmp
1,127,1.0,12960,74.03649691358024,74.03649691358024,2564.5672636543113,50.64155668672036,-0.4114508784357599,1.3173280186219467,-1.6826719813780533,Volume Slice 52.bmp
1,127,1.0,14154,69.68001978239367,69.68001978239367,2699.666511911435,51.958315137342886,-0.21931921789697423,1.1771591419469016,-1.8228408580530984,Volume Slice 53.bmp
1,127,1.0,15554,69.75125369679826,69.75125369679826,2798.1152501319866,52.89721401106099,-0.22408384745283094,1.1594760291619421,-1.8405239708380579,Volume Slice 54.bmp
1,127,0.9999999999999999,17519,74.34967749300759,74.3496774930076,2639.107704530958,51.37224644232485,-0.414395456290529,1.298880132392658,-1.701119867607342,Volume Slice 55.bmp
1,127,1.0,20413,73.66354773918579,73.66354773918579,2527.0683018602226,50.269954265547355,-0.3800894811114047,1.3165588416247793,-1.6834411583752207,Volume Slice 56.bmp
1,128,1.0,23713,71.91207354615611,71.91207354615611,2508.47955439395,50.0847237627797,-0.3062100180750622,1.2722832956543948,-1.7277167043456052,Volume Slice 57.bmp
1,146,1.0,26483,70.28165238077257,70.28165238077257,2505.111511342817,50.051089012556126,-0.2545052869702106,1.246467659218972,-1.753532340781028,Volume Slice 58.bmp
1,160,0.9999999999999999,28474,67.26111540352602,67.26111540352603,2670.9804596113927,51.6815291918824,-0.12227071253800902,1.1575365397387591,-1.8424634602612409,Volume Slice 59.bmp
1,151,1.0,29834,74.08926057518268,74.08926057518268,2554.9203358278573,50.54621979760561,-0.4086850613387727,1.3112915872901316,-1.6887084127098684,Volume Slice 60.bmp
1,127,1.0,30744,75.21682279469164,75.21682279469164,2484.111457821057,49.84086132703825,-0.461137663530724,1.3707972552231524,-1.6292027447768476,Volume Slice 61.bmp
1,141,1.0,31863,76.37419577566457,76.37419577566457,2510.185715838645,50.10175362039382,-0.5031086021093446,1.4052386913209725,-1.5947613086790275,Volume Slice 62.bmp
1,127,0.9999999999999999,32540,77.82384757221881,77.82384757221882,2419.21684985507,49.18553496562856,-0.583070943850371,1.507829731832666,-1.492170268167334,Volume Slice 63.bmp
1,127,1.0,32963,79.39225798622698,79.39225798622698,2374.052304227105,48.72424760042073,-0.6473186918227503,1.5966110988265598,-1.4033889011734402,Volume Slice 64.bmp
1,136,1.0,33448,84.20910069361396,84.20910069361396,2081.739223563408,45.62608051940697,-0.9139906644301449,2.0904570666216102,-0.9095429333783898,Volume Slice 65.bmp
1,145,1.0,32314,90.37958779476388,90.37958779476388,1676.5008967045069,40.945096125232226,-1.3001270380530872,3.0817279984278,0.08172799842779988,Volume Slice 66.bmp
1,127,1.0000000000000002,30485,90.09824503854355,90.09824503854354,1814.824955096262,42.60076237693713,-1.2427559457403359,2.85639156408072,-0.1436084359192802,Volume Slice 67.bmp
1,127,1.0,28115,89.14700337897919,89.14700337897919,1668.9246820215071,40.85247461319213,-1.2230732884401359,2.9453927494662917,-0.054607250533708296,Volume Slice 68.bmp
1,127,0.9999999999999999,22238,91.2481338249843,91.24813382498431,1616.5012500024172,40.205736531027725,-1.337323701168644,3.239126828342736,0.2391268283427359,Volume Slice 69.bmp
1,127,0.9999999999999999,17740,83.59374295377678,83.5937429537768,2145.360828944074,46.31803999462924,-0.8601655604438261,1.9939835494238027,-1.0060164505761973,Volume Slice 70.bmp
1,127,1.0000000000000002,12063,65.70496559728095,65.70496559728093,2249.534193199098,47.4292546135726,-0.10978374942453152,1.2833356108694287,-1.7166643891305713,Volume Slice 71.bmp
1,127,1.0,4516,64.48272807794508,64.48272807794508,1889.7178150553766,43.47088468222584,-0.17839290619602663,1.5070594093408862,-1.4929405906591138,Volume Slice 72.bmp
1,126,0.9999999999999999,769,77.74512353706112,77.74512353706113,611.6463513826582,24.73148502178262,-0.4689743985929304,2.904658901910081,-0.0953410980899192,Volume Slice 73.bmp
