Model,Scaler,FS Tech,FS Ratio,OV Tech,TP,FP,FN,TN,Macro Precision,Macro Recall,Macro F1,Macro Accuracy,Macro Specificity,Macro Average,Micro Precision,Micro Recall,Micro F1,Micro Accuracy,Micro Specificity,Micro Average,Weights,Samples,Weighted Precision,Weighted Recall,Weighted F1,Weighted Accuracy,Weighted Specificity,Weighted Average
AB,Normalizer,,90,ADASYN,126.0000000001,20.0000000001,60.0000000001,32.0000000001,0.8630136986296397,0.6774193548385189,0.7590361445780013,0.6638655462193277,0.6153846153841716,0.7157438719299318,0.8630136986296397,0.6774193548385189,0.7590361445780013,0.663865546218212,0.6153846153841716,0.7157438719297087,[0.21848739 0.78151261],[ 52 186],0.8630136986296397,0.6774193548385189,0.7590361445780013,0.6638655462193277,0.6153846153841716,0.7157438719299318
AB,,ANOVA,70,SVMSMOTE,153.0000000001,22.0000000001,33.0000000001,30.0000000001,0.8742857142852866,0.8225806451609435,0.8476454293624958,0.7689075630260503,0.5769230769227811,0.7780684857515114,0.8742857142852866,0.8225806451609435,0.8476454293624958,0.7689075630247582,0.5769230769227811,0.778068485751253,[0.21848739 0.78151261],[ 52 186],0.8742857142852866,0.8225806451609434,0.8476454293624957,0.7689075630260503,0.5769230769227811,0.7780684857515114
KNN,QT,MI,70,,173.0000000001,33.0000000001,13.0000000001,19.0000000001,0.8398058252423886,0.930107526881258,0.8826530612240994,0.8067226890764705,0.36538461538513306,0.76493474356187,0.8398058252423886,0.930107526881258,0.8826530612240994,0.8067226890751148,0.36538461538513306,0.7649347435615989,[0.21848739 0.78151261],[ 52 186],0.8398058252423886,0.930107526881258,0.8826530612240994,0.8067226890764705,0.36538461538513306,0.76493474356187
RF,Standard,ANOVA,40,,176.0000000001,29.0000000001,10.0000000001,23.0000000001,0.8585365853655039,0.9462365591393052,0.9002557544752939,0.8361344537823528,0.4423076923079142,0.796694209014074,0.8585365853655039,0.9462365591393052,0.9002557544752939,0.8361344537809478,0.4423076923079142,0.796694209013793,[0.21848739 0.78151261],[ 52 186],0.8585365853655039,0.9462365591393052,0.9002557544752939,0.8361344537823528,0.4423076923079142,0.796694209014074
ETs,MinMax,RFE,50,ADASYN,134.0000000001,25.0000000001,52.0000000001,27.0000000001,0.8427672955970532,0.7204301075266447,0.7768115942025776,0.6764705882361344,0.5192307692306952,0.707142070958621,0.8427672955970532,0.7204301075266447,0.7768115942025776,0.6764705882349976,0.5192307692306952,0.7071420709583937,[0.21848739 0.78151261],[ 52 186],0.8427672955970532,0.7204301075266447,0.7768115942025776,0.6764705882361344,0.5192307692306952,0.707142070958621
AB,MaxAbs,,40,BorderlineSMOTE,131.0000000001,22.0000000001,55.0000000001,30.0000000001,0.8562091503263318,0.7043010752685975,0.7728613569318314,0.6764705882361344,0.5769230769227811,0.7173530495371352,0.8562091503263318,0.7043010752685975,0.7728613569318314,0.6764705882349976,0.5769230769227811,0.7173530495369078,[0.21848739 0.78151261],[ 52 186],0.8562091503263318,0.7043010752685975,0.7728613569318314,0.6764705882361344,0.5769230769227811,0.7173530495371352
ETs,MaxAbs,RFE,50,SMOTE,162.0000000001,25.0000000001,24.0000000001,27.0000000001,0.8663101604274157,0.8709677419350851,0.8686327077744036,0.7941176470596638,0.5192307692306952,0.7838518052854526,0.8663101604274157,0.8709677419350851,0.8686327077744036,0.7941176470583293,0.5192307692306952,0.7838518052851858,[0.21848739 0.78151261],[ 52 186],0.8663101604274157,0.8709677419350852,0.8686327077744037,0.7941176470596638,0.5192307692306952,0.7838518052854528
ETs,MaxAbs,RFE,50,,172.0000000001,28.0000000001,14.0000000001,24.0000000001,0.85999999999964,0.9247311827952422,0.8911917098441543,0.8235294117655461,0.46153846153860945,0.7921981531886384,0.85999999999964,0.9247311827952422,0.8911917098441543,0.8235294117641622,0.46153846153860945,0.7921981531883616,[0.21848739 0.78151261],[ 52 186],0.85999999999964,0.9247311827952422,0.8911917098441543,0.8235294117655461,0.46153846153860945,0.7921981531886384
ETs,Robust,RFE,50,BorderlineSMOTE,147.0000000001,22.0000000001,39.0000000001,30.0000000001,0.8698224852066629,0.7903225806448492,0.8281690140841372,0.7436974789924369,0.5769230769227811,0.7617869271701736,0.8698224852066629,0.7903225806448492,0.8281690140841372,0.7436974789911871,0.5769230769227811,0.7617869271699236,[0.21848739 0.78151261],[ 52 186],0.8698224852066629,0.7903225806448492,0.8281690140841372,0.7436974789924369,0.5769230769227811,0.7617869271701736
ETs,MaxAbs,RFE,50,SMOTE,163.0000000001,27.0000000001,23.0000000001,25.0000000001,0.8578947368417286,0.8763440860211008,0.8670212765953542,0.7899159663873948,0.4807692307693047,0.7743890593229766,0.8578947368417286,0.8763440860211008,0.8670212765953542,0.7899159663860674,0.4807692307693047,0.7743890593227112,[0.21848739 0.78151261],[ 52 186],0.8578947368417287,0.8763440860211008,0.8670212765953543,0.7899159663873948,0.4807692307693047,0.7743890593229766
