Model,Scaler,FS Tech,FS Ratio,OV Tech,TP,FP,FN,TN,Macro Precision,Macro Recall,Macro F1,Macro Accuracy,Macro Specificity,Macro Average,Micro Precision,Micro Recall,Micro F1,Micro Accuracy,Micro Specificity,Micro Average,Weights,Samples,Weighted Precision,Weighted Recall,Weighted F1,Weighted Accuracy,Weighted Specificity,Weighted Average
KNN,MaxAbs,,60,SVMSMOTE,136.0000000001,28.0000000001,50.0000000001,24.0000000001,0.8292682926825253,0.7311827956986762,0.7771428571425404,0.6722689075638655,0.46153846153860945,0.6942802629252435,0.8292682926825253,0.7311827956986762,0.7771428571425404,0.6722689075627357,0.46153846153860945,0.6942802629250175,[0.21848739 0.78151261],[ 52 186],0.8292682926825253,0.7311827956986763,0.7771428571425405,0.6722689075638655,0.46153846153860945,0.6942802629252435
KNN,MaxAbs,,60,SVMSMOTE,134.0000000001,21.0000000001,52.0000000001,31.0000000001,0.8645161290317878,0.7204301075266447,0.7859237536653538,0.6932773109252099,0.5961538461534763,0.7320602294604945,0.8645161290317878,0.7204301075266447,0.7859237536653538,0.693277310924045,0.5961538461534763,0.7320602294602615,[0.21848739 0.78151261],[ 52 186],0.8645161290317878,0.7204301075266447,0.7859237536653538,0.6932773109252099,0.5961538461534763,0.7320602294604945
KNN,MaxAbs,,70,SVMSMOTE,134.0000000001,16.0000000001,52.0000000001,36.0000000001,0.893333333332809,0.7204301075266447,0.7976190476186934,0.7142857142865545,0.6923076923069527,0.7635951790143308,0.893333333332809,0.7204301075266447,0.7976190476186934,0.7142857142853541,0.6923076923069527,0.7635951790140908,[0.21848739 0.78151261],[ 52 186],0.893333333332809,0.7204301075266447,0.7976190476186934,0.7142857142865545,0.6923076923069527,0.7635951790143308
KNN,MaxAbs,,60,SVMSMOTE,138.0000000001,18.0000000001,48.0000000001,34.0000000001,0.8846153846148915,0.7419354838707076,0.80701754385929,0.7226890756310923,0.6538461538455621,0.7620207283643088,0.8846153846148915,0.7419354838707076,0.80701754385929,0.7226890756298778,0.6538461538455621,0.7620207283640659,[0.21848739 0.78151261],[ 52 186],0.8846153846148915,0.7419354838707077,0.8070175438592901,0.7226890756310923,0.6538461538455621,0.7620207283643088
KNN,MaxAbs,,60,SVMSMOTE,142.0000000001,27.0000000001,44.0000000001,25.0000000001,0.8402366863901299,0.7634408602147705,0.7999999999996621,0.7016806722697478,0.4807692307693047,0.717225489928723,0.8402366863901299,0.7634408602147705,0.7999999999996621,0.7016806722685687,0.4807692307693047,0.7172254899284871,[0.21848739 0.78151261],[ 52 186],0.8402366863901298,0.7634408602147705,0.799999999999662,0.7016806722697478,0.4807692307693047,0.7172254899287229
KNN,MaxAbs,,70,,168.0000000001,35.0000000001,18.0000000001,17.0000000001,0.827586206896229,0.9032258064511793,0.8637532133672352,0.7773109243705881,0.32692307692374256,0.7397598456017949,0.827586206896229,0.9032258064511793,0.8637532133672352,0.7773109243692818,0.32692307692374256,0.7397598456015336,[0.21848739 0.78151261],[ 52 186],0.827586206896229,0.9032258064511793,0.8637532133672352,0.7773109243705881,0.32692307692374256,0.7397598456017949
KNN,MaxAbs,,70,,165.0000000001,37.0000000001,21.0000000001,15.0000000001,0.8168316831680031,0.8870967741931322,0.8505154639171644,0.7563025210092436,0.28846153846235206,0.7198415961499791,0.8168316831680031,0.8870967741931322,0.8505154639171644,0.7563025210079727,0.28846153846235206,0.7198415961497249,[0.21848739 0.78151261],[ 52 186],0.8168316831680031,0.8870967741931322,0.8505154639171644,0.7563025210092436,0.28846153846235206,0.7198415961499791
KNN,MaxAbs,,70,,173.0000000001,33.0000000001,13.0000000001,19.0000000001,0.8398058252423886,0.930107526881258,0.8826530612240994,0.8067226890764705,0.36538461538513306,0.76493474356187,0.8398058252423886,0.930107526881258,0.8826530612240994,0.8067226890751148,0.36538461538513306,0.7649347435615989,[0.21848739 0.78151261],[ 52 186],0.8398058252423886,0.930107526881258,0.8826530612240994,0.8067226890764705,0.36538461538513306,0.76493474356187
KNN,QT,,70,,168.0000000001,35.0000000001,18.0000000001,17.0000000001,0.827586206896229,0.9032258064511793,0.8637532133672352,0.7773109243705881,0.32692307692374256,0.7397598456017949,0.827586206896229,0.9032258064511793,0.8637532133672352,0.7773109243692818,0.32692307692374256,0.7397598456015336,[0.21848739 0.78151261],[ 52 186],0.827586206896229,0.9032258064511793,0.8637532133672352,0.7773109243705881,0.32692307692374256,0.7397598456017949
KNN,MaxAbs,,70,,165.0000000001,36.0000000001,21.0000000001,16.0000000001,0.8208955223877404,0.8870967741931322,0.852713178294209,0.7605042016815124,0.3076923076930473,0.7257803968499283,0.8208955223877404,0.8870967741931322,0.852713178294209,0.7605042016802345,0.3076923076930473,0.7257803968496728,[0.21848739 0.78151261],[ 52 186],0.8208955223877404,0.8870967741931322,0.852713178294209,0.7605042016815124,0.3076923076930473,0.7257803968499283
ETs,MaxAbs,,70,,166.0000000001,29.0000000001,20.0000000001,23.0000000001,0.851282051281691,0.8924731182791479,0.8713910761150957,0.7941176470596638,0.4423076923079142,0.7703143170087026,0.851282051281691,0.8924731182791479,0.8713910761150957,0.7941176470583293,0.4423076923079142,0.7703143170084356,[0.21848739 0.78151261],[ 52 186],0.851282051281691,0.8924731182791479,0.8713910761150957,0.7941176470596638,0.4423076923079142,0.7703143170087026
