Model,Scaler,TP,FP,FN,TN,Macro Precision,Macro Recall,Macro F1,Macro Accuracy,Macro Specificity,Macro Average,Micro Precision,Micro Recall,Micro F1,Micro Accuracy,Micro Specificity,Micro Average,Weights,Samples,Weighted Precision,Weighted Recall,Weighted F1,Weighted Accuracy,Weighted Specificity,Weighted Average
RF,MaxAbs,168.0000000001,31.0000000001,8.0000000001,17.0000000001,0.8442211055272922,0.9545454545449381,0.8959999999995776,0.8258928571437499,0.3541666666672743,0.7749652167765665,0.8442211055272922,0.9545454545449381,0.8959999999995776,0.8258928571422752,0.3541666666672743,0.7749652167762715,[0.21428571 0.78571429],[ 48 176],0.8442211055272922,0.9545454545449381,0.8959999999995776,0.8258928571437499,0.35416666666727425,0.7749652167765664
RF,QT,169.0000000001,31.0000000001,7.0000000001,17.0000000001,0.844999999999655,0.9602272727267498,0.8989361702123415,0.8303571428580356,0.3541666666672743,0.7777374504928114,0.844999999999655,0.9602272727267498,0.8989361702123415,0.830357142856553,0.3541666666672743,0.7777374504925147,[0.21428571 0.78571429],[ 48 176],0.844999999999655,0.9602272727267498,0.8989361702123415,0.8303571428580356,0.35416666666727425,0.7777374504928114
AB,Normalizer,159.0000000001,24.0000000001,17.0000000001,24.0000000001,0.8688524590159904,0.9034090909086325,0.8857938718658654,0.8169642857151784,0.5,0.7950039415011334,0.8688524590159904,0.9034090909086325,0.8857938718658654,0.8169642857137198,0.5,0.7950039415008416,[0.21428571 0.78571429],[ 48 176],0.8688524590159904,0.9034090909086325,0.8857938718658654,0.8169642857151783,0.5,0.7950039415011333
AB,Standard,169.0000000001,30.0000000001,7.0000000001,18.0000000001,0.849246231155428,0.9602272727267498,0.9013333333329052,0.8348214285723213,0.3750000000005208,0.7841256531575851,0.849246231155428,0.9602272727267498,0.9013333333329052,0.8348214285708307,0.3750000000005208,0.7841256531572869,[0.21428571 0.78571429],[ 48 176],0.8492462311554279,0.9602272727267498,0.9013333333329052,0.8348214285723213,0.3750000000005208,0.7841256531575851
AB,MinMax,168.0000000001,27.0000000001,8.0000000001,21.0000000001,0.8615384615380908,0.9545454545449381,0.9056603773580533,0.8437500000008927,0.4375000000002604,0.800598858688447,0.8615384615380908,0.9545454545449381,0.9056603773580533,0.8437499999993863,0.4375000000002604,0.8005988586881457,[0.21428571 0.78571429],[ 48 176],0.8615384615380908,0.9545454545449381,0.9056603773580533,0.8437500000008927,0.4375000000002604,0.800598858688447
AB,Robust,172.0000000001,29.0000000001,4.0000000001,19.0000000001,0.8557213930344719,0.977272727272185,0.9124668435008887,0.8526785714294641,0.39583333333376736,0.7987945737141554,0.8557213930344719,0.977272727272185,0.9124668435008887,0.8526785714279417,0.39583333333376736,0.7987945737138509,[0.21428571 0.78571429],[ 48 176],0.8557213930344719,0.9772727272721848,0.9124668435008886,0.8526785714294641,0.39583333333376736,0.7987945737141554
AB,MaxAbs,167.0000000001,31.0000000001,9.0000000001,17.0000000001,0.8434343434339966,0.9488636363631263,0.8930481283418257,0.8214285714294641,0.3541666666672743,0.7721882692471375,0.8434343434339966,0.9488636363631263,0.8930481283418257,0.8214285714279975,0.3541666666672743,0.772188269246844,[0.21428571 0.78571429],[ 48 176],0.8434343434339965,0.9488636363631263,0.8930481283418257,0.8214285714294641,0.35416666666727425,0.7721882692471373
AB,QT,157.0000000001,23.0000000001,19.0000000001,25.0000000001,0.8722222222218087,0.892045454545009,0.8820224719096832,0.8125000000008927,0.5208333333332466,0.795924696402128,0.8722222222218087,0.892045454545009,0.8820224719096832,0.812499999999442,0.5208333333332466,0.7959246964018379,[0.21428571 0.78571429],[ 48 176],0.8722222222218087,0.892045454545009,0.8820224719096832,0.8125000000008927,0.5208333333332466,0.795924696402128
KNN,Normalizer,158.0000000001,34.0000000001,18.0000000001,14.0000000001,0.8229166666663303,0.8977272727268208,0.8586956521735233,0.7678571428580356,0.2916666666675347,0.7277726802184489,0.8229166666663303,0.8977272727268208,0.8586956521735233,0.7678571428566646,0.2916666666675347,0.7277726802181748,[0.21428571 0.78571429],[ 48 176],0.8229166666663303,0.8977272727268207,0.8586956521735231,0.7678571428580356,0.2916666666675347,0.7277726802184489
KNN,Standard,169.0000000001,30.0000000001,7.0000000001,18.0000000001,0.849246231155428,0.9602272727267498,0.9013333333329052,0.8348214285723213,0.3750000000005208,0.7841256531575851,0.849246231155428,0.9602272727267498,0.9013333333329052,0.8348214285708307,0.3750000000005208,0.7841256531572869,[0.21428571 0.78571429],[ 48 176],0.8492462311554279,0.9602272727267498,0.9013333333329052,0.8348214285723213,0.3750000000005208,0.7841256531575851
