number,value,datetime_start,datetime_complete,duration,params_FS Ratio,params_FS Tech,params_Model,params_OV Tech,params_Scaler,state
39,0.496238729293285,2025-03-18 11:55:48.534538,2025-03-18 11:56:23.963169,0 days 00:00:35.428631,70,MI,RF,SVMSMOTE,Normalizer,COMPLETE
40,0.7320602294604945,2025-03-18 11:55:48.686051,2025-03-18 11:56:51.528930,0 days 00:01:02.842879,60,,KNN,SVMSMOTE,MaxAbs,COMPLETE
41,0.7543340832587802,2025-03-18 11:55:48.807977,2025-03-18 11:56:22.766678,0 days 00:00:33.958701,70,,KNN,,MinMax,COMPLETE
42,0.7576446957394404,2025-03-18 11:55:48.988527,2025-03-18 11:57:16.725966,0 days 00:01:27.737439,70,Chi2,ETs,,QT,COMPLETE
43,0.7397598456017949,2025-03-18 11:55:49.204217,2025-03-18 11:56:57.020905,0 days 00:01:07.816688,70,,ETs,,MaxAbs,COMPLETE
44,0.7356855963054217,2025-03-18 11:55:58.952008,2025-03-18 11:56:46.180591,0 days 00:00:47.228583,80,,KNN,SVMSMOTE,MaxAbs,COMPLETE
45,0.7172254899287229,2025-03-18 11:56:02.471409,2025-03-18 11:56:47.775536,0 days 00:00:45.304127,60,,KNN,SVMSMOTE,MaxAbs,COMPLETE
46,0.7667563488302057,2025-03-18 11:56:02.660558,2025-03-18 11:56:48.185888,0 days 00:00:45.525330,60,,KNN,SVMSMOTE,MaxAbs,COMPLETE
47,0.7620207283643088,2025-03-18 11:56:02.660558,2025-03-18 11:56:46.720526,0 days 00:00:44.059968,60,,KNN,SVMSMOTE,MaxAbs,COMPLETE
48,0.7703143170087026,2025-03-18 11:56:04.942532,2025-03-18 11:56:53.295633,0 days 00:00:48.353101,70,,ETs,,MaxAbs,COMPLETE
49,0.7583027765638384,2025-03-18 11:56:08.936931,2025-03-18 11:56:54.160843,0 days 00:00:45.223912,70,,ETs,,MaxAbs,COMPLETE
50,0.7128894932527222,2025-03-18 11:56:09.229389,2025-03-18 11:56:38.300539,0 days 00:00:29.071150,60,,KNN,SVMSMOTE,Standard,COMPLETE
51,0.7048639153382411,2025-03-18 11:56:10.862659,2025-03-18 11:56:42.335324,0 days 00:00:31.472665,60,,KNN,SVMSMOTE,MaxAbs,COMPLETE
52,0.6942802629252435,2025-03-18 11:56:12.030405,2025-03-18 11:56:49.400903,0 days 00:00:37.370498,60,,KNN,SVMSMOTE,MaxAbs,COMPLETE
53,0.7257803968499283,2025-03-18 11:56:12.238545,2025-03-18 11:56:52.090537,0 days 00:00:39.851992,70,,KNN,,MaxAbs,COMPLETE
54,0.7635951790143308,2025-03-18 11:56:12.826613,2025-03-18 11:57:20.319782,0 days 00:01:07.493169,70,,KNN,SVMSMOTE,MaxAbs,COMPLETE
55,0.6456062106773858,2025-03-18 11:56:22.942110,2025-03-18 11:57:01.142542,0 days 00:00:38.200432,20,PCA,ETs,SMOTE,QT,COMPLETE
56,0.7399947380654717,2025-03-18 11:56:27.030582,2025-03-18 11:57:27.290435,0 days 00:01:00.259853,70,,ETs,,MaxAbs,COMPLETE
57,0.719568131476744,2025-03-18 11:56:27.350470,2025-03-18 11:57:33.035718,0 days 00:01:05.685248,50,RFE,ETs,BorderlineSMOTE,,COMPLETE
58,0.6624296229310069,2025-03-18 11:56:33.410840,2025-03-18 11:57:33.629445,0 days 00:01:00.218605,20,PCA,ETs,SMOTE,,COMPLETE
59,0.6790367630377178,2025-03-18 11:56:33.550481,2025-03-18 11:57:33.885309,0 days 00:01:00.334828,20,PCA,ETs,SMOTE,,COMPLETE
60,0.7088557627682643,2025-03-18 11:56:34.405700,2025-03-18 11:57:26.004712,0 days 00:00:51.599012,50,PCA,ETs,SVMSMOTE,,COMPLETE
61,0.6848272950421127,2025-03-18 11:56:34.620493,2025-03-18 11:57:24.037703,0 days 00:00:49.417210,20,PCA,ETs,SMOTE,,COMPLETE
62,0.6681934475584069,2025-03-18 11:56:35.075145,2025-03-18 11:58:01.026661,0 days 00:01:25.951516,20,PCA,ETs,SMOTE,,COMPLETE
63,0.7446207259701758,2025-03-18 11:56:35.213311,2025-03-18 11:57:31.524577,0 days 00:00:56.311266,50,RFE,ETs,BorderlineSMOTE,,COMPLETE
64,0.6652754352102865,2025-03-18 11:56:35.370577,2025-03-18 11:57:11.705558,0 days 00:00:36.334981,20,PCA,ETs,SMOTE,,COMPLETE
65,0.6829367692228246,2025-03-18 11:56:35.514207,2025-03-18 11:57:38.833639,0 days 00:01:03.319432,50,RFE,KNN,BorderlineSMOTE,MaxAbs,COMPLETE
66,0.7725693906173412,2025-03-18 11:56:35.670788,2025-03-18 11:57:50.019973,0 days 00:01:14.349185,50,RFE,MLP,BorderlineSMOTE,MaxAbs,COMPLETE
67,0.6482230907460446,2025-03-18 11:56:36.010638,2025-03-18 11:57:13.600522,0 days 00:00:37.589884,20,PCA,ETs,SMOTE,QT,COMPLETE
68,0.698122694101299,2025-03-18 11:56:36.430550,2025-03-18 11:57:38.097923,0 days 00:01:01.667373,20,PCA,ETs,SMOTE,,COMPLETE
69,0.7459939192976857,2025-03-18 11:56:41.220641,2025-03-18 11:57:43.049302,0 days 00:01:01.828661,50,PCA,ETs,SMOTE,,COMPLETE
70,0.6497944556099168,2025-03-18 11:56:42.115620,2025-03-18 11:57:06.773755,0 days 00:00:24.658135,20,PCA,ETs,SMOTE,,COMPLETE
71,0.7782313430689447,2025-03-18 11:56:42.505319,2025-03-18 11:57:36.300853,0 days 00:00:53.795534,50,Chi2,MLP,BorderlineSMOTE,MaxAbs,COMPLETE
72,0.0,2025-03-18 11:56:42.760800,2025-03-18 11:57:54.340923,0 days 00:01:11.580123,10,Chi2,MLP,SVMSMOTE,Robust,COMPLETE
73,0.8055352921447252,2025-03-18 11:56:43.090717,2025-03-18 11:57:43.175755,0 days 00:01:00.085038,50,RFE,MLP,BorderlineSMOTE,MaxAbs,COMPLETE
74,0.7472537064909617,2025-03-18 11:56:45.712838,2025-03-18 11:57:54.341151,0 days 00:01:08.628313,50,,MLP,BorderlineSMOTE,MaxAbs,COMPLETE
75,0.729911476064683,2025-03-18 11:56:47.750782,2025-03-18 11:57:37.987883,0 days 00:00:50.237101,50,PCA,ETs,BorderlineSMOTE,,COMPLETE
76,0.7060534173816746,2025-03-18 11:56:49.132529,2025-03-18 11:57:40.562882,0 days 00:00:51.430353,50,RFE,ETs,BorderlineSMOTE,,COMPLETE
77,0.7836527861762328,2025-03-18 11:56:49.940662,2025-03-18 11:57:51.005036,0 days 00:01:01.064374,10,,MLP,BorderlineSMOTE,MaxAbs,COMPLETE
78,0.7399128938721315,2025-03-18 11:56:50.130706,2025-03-18 11:57:51.411084,0 days 00:01:01.280378,50,RFE,KNN,BorderlineSMOTE,MaxAbs,COMPLETE
79,0.7697829333419474,2025-03-18 11:56:50.901702,2025-03-18 11:57:47.395877,0 days 00:00:56.494175,50,RFE,MLP,BorderlineSMOTE,MaxAbs,COMPLETE
80,0.6790367630377178,2025-03-18 11:56:52.600742,2025-03-18 11:57:49.300906,0 days 00:00:56.700164,50,RFE,KNN,BorderlineSMOTE,Robust,COMPLETE
81,0.7716463691758332,2025-03-18 11:56:52.800582,2025-03-18 11:57:51.875715,0 days 00:00:59.075133,50,,MLP,BorderlineSMOTE,Robust,COMPLETE
82,0.7242649313055878,2025-03-18 11:56:52.980602,2025-03-18 11:58:00.324154,0 days 00:01:07.343552,90,Chi2,MLP,ADASYN,MaxAbs,COMPLETE
83,0.7529268235237533,2025-03-18 11:56:51.550498,2025-03-18 11:57:54.960820,0 days 00:01:03.410322,50,RFE,MLP,BorderlineSMOTE,MaxAbs,COMPLETE
84,0.0,2025-03-18 11:56:53.537250,2025-03-18 11:57:42.097635,0 days 00:00:48.560385,10,RFE,MLP,SVMSMOTE,Robust,COMPLETE
85,0.0,2025-03-18 11:56:53.800493,2025-03-18 11:57:50.385852,0 days 00:00:56.585359,10,Chi2,MLP,BorderlineSMOTE,Robust,COMPLETE
86,0.0,2025-03-18 11:56:54.000473,2025-03-18 11:57:51.000496,0 days 00:00:57.000023,10,Chi2,MLP,SVMSMOTE,Robust,COMPLETE
87,0.0,2025-03-18 11:56:54.981051,2025-03-18 11:57:45.395564,0 days 00:00:50.414513,10,RFE,MLP,BorderlineSMOTE,Robust,COMPLETE
88,0.7780684857515114,2025-03-18 11:56:58.917464,2025-03-18 11:57:52.765846,0 days 00:00:53.848382,60,,MLP,SVMSMOTE,Robust,COMPLETE
89,0.7741817494249892,2025-03-18 11:56:59.220616,2025-03-18 11:58:10.026333,0 days 00:01:10.805717,10,,MLP,SVMSMOTE,Robust,COMPLETE
90,0.7920474378221631,2025-03-18 11:56:59.470724,2025-03-18 11:57:54.837619,0 days 00:00:55.366895,10,,MLP,SVMSMOTE,Robust,COMPLETE
91,0.0,2025-03-18 11:57:02.125946,2025-03-18 11:57:51.830814,0 days 00:00:49.704868,10,RFE,MLP,SVMSMOTE,Robust,COMPLETE
92,0.0,2025-03-18 11:57:03.349256,2025-03-18 11:57:54.150530,0 days 00:00:50.801274,10,Chi2,MLP,SVMSMOTE,Robust,COMPLETE
93,0.7958909878685152,2025-03-18 11:57:05.565797,2025-03-18 11:58:13.349261,0 days 00:01:07.783464,90,Chi2,MLP,BorderlineSMOTE,MaxAbs,COMPLETE
