Model,Scaler,FS Tech,FS Ratio,OV Tech,TP,FP,FN,TN,Macro Precision,Macro Recall,Macro F1,Macro Accuracy,Macro Specificity,Macro Average,Micro Precision,Micro Recall,Micro F1,Micro Accuracy,Micro Specificity,Micro Average,Weights,Samples,Weighted Precision,Weighted Recall,Weighted F1,Weighted Accuracy,Weighted Specificity,Weighted Average
AB,QT,ANOVA,90,,169.0000000001,41.0000000001,7.0000000001,7.0000000001,0.8047619047616146,0.9602272727267498,0.8756476683933931,0.7857142857151784,0.14583333333480902,0.7144368929863489,0.8047619047616146,0.9602272727267498,0.8756476683933931,0.7857142857137756,0.14583333333480902,0.7144368929860685,[0.21428571 0.78571429],[ 48 176],0.8047619047616146,0.9602272727267498,0.8756476683933931,0.7857142857151783,0.14583333333480902,0.7144368929863489
AB,QT,ANOVA,90,SMOTE,127.0000000001,15.0000000001,49.0000000001,33.0000000001,0.8943661971825432,0.7215909090906573,0.7987421383644041,0.7142857142866071,0.6874999999992187,0.7632969917846861,0.8943661971825432,0.7215909090906573,0.7987421383644041,0.7142857142853316,0.6874999999992187,0.763296991784431,[0.21428571 0.78571429],[ 48 176],0.8943661971825431,0.7215909090906573,0.798742138364404,0.7142857142866071,0.6874999999992187,0.763296991784686
AB,QT,ANOVA,90,,169.0000000001,41.0000000001,7.0000000001,7.0000000001,0.8047619047616146,0.9602272727267498,0.8756476683933931,0.7857142857151784,0.14583333333480902,0.7144368929863489,0.8047619047616146,0.9602272727267498,0.8756476683933931,0.7857142857137756,0.14583333333480902,0.7144368929860685,[0.21428571 0.78571429],[ 48 176],0.8047619047616146,0.9602272727267498,0.8756476683933931,0.7857142857151783,0.14583333333480902,0.7144368929863489
AB,QT,ANOVA,90,,175.0000000001,38.0000000001,1.0000000001,10.0000000001,0.8215962441311535,0.9943181818176202,0.8997429305908486,0.8258928571437499,0.2083333333345486,0.7499767094035842,0.8215962441311535,0.9943181818176202,0.8997429305908486,0.8258928571422752,0.2083333333345486,0.7499767094032893,[0.21428571 0.78571429],[ 48 176],0.8215962441311534,0.9943181818176201,0.8997429305908486,0.8258928571437499,0.2083333333345486,0.7499767094035841
ETs,QT,ANOVA,90,SMOTE,135.0000000001,30.0000000001,41.0000000001,18.0000000001,0.8181818181814325,0.7670454545451512,0.7917888563046431,0.683035714286607,0.3750000000005208,0.6870103686636709,0.8181818181814325,0.7670454545451512,0.7917888563046431,0.6830357142853875,0.3750000000005208,0.687010368663427,[0.21428571 0.78571429],[ 48 176],0.8181818181814324,0.7670454545451512,0.791788856304643,0.683035714286607,0.3750000000005208,0.6870103686636709
AB,MaxAbs,ANOVA,90,,176.0000000001,48.0000000001,1e-10,1e-10,0.7857142857140307,0.9999999999994319,0.8799999999996201,0.7857142857151784,2.083333333324653e-12,0.6902857142860689,0.7857142857140307,0.9999999999994319,0.8799999999996201,0.7857142857137756,2.083333333324653e-12,0.6902857142857883,[0.21428571 0.78571429],[ 48 176],0.7857142857140307,0.9999999999994319,0.8799999999996201,0.7857142857151783,2.083333333324653e-12,0.6902857142860689
ETs,MaxAbs,ANOVA,90,,176.0000000001,48.0000000001,1e-10,1e-10,0.7857142857140307,0.9999999999994319,0.8799999999996201,0.7857142857151784,2.083333333324653e-12,0.6902857142860689,0.7857142857140307,0.9999999999994319,0.8799999999996201,0.7857142857137756,2.083333333324653e-12,0.6902857142857883,[0.21428571 0.78571429],[ 48 176],0.7857142857140307,0.9999999999994319,0.8799999999996201,0.7857142857151783,2.083333333324653e-12,0.6902857142860689
ETs,MaxAbs,ANOVA,90,,176.0000000001,48.0000000001,1e-10,1e-10,0.7857142857140307,0.9999999999994319,0.8799999999996201,0.7857142857151784,2.083333333324653e-12,0.6902857142860689,0.7857142857140307,0.9999999999994319,0.8799999999996201,0.7857142857137756,2.083333333324653e-12,0.6902857142857883,[0.21428571 0.78571429],[ 48 176],0.7857142857140307,0.9999999999994319,0.8799999999996201,0.7857142857151783,2.083333333324653e-12,0.6902857142860689
ETs,MaxAbs,ANOVA,90,,176.0000000001,48.0000000001,1e-10,1e-10,0.7857142857140307,0.9999999999994319,0.8799999999996201,0.7857142857151784,2.083333333324653e-12,0.6902857142860689,0.7857142857140307,0.9999999999994319,0.8799999999996201,0.7857142857137756,2.083333333324653e-12,0.6902857142857883,[0.21428571 0.78571429],[ 48 176],0.7857142857140307,0.9999999999994319,0.8799999999996201,0.7857142857151783,2.083333333324653e-12,0.6902857142860689
ETs,MaxAbs,ANOVA,90,,176.0000000001,48.0000000001,1e-10,1e-10,0.7857142857140307,0.9999999999994319,0.8799999999996201,0.7857142857151784,2.083333333324653e-12,0.6902857142860689,0.7857142857140307,0.9999999999994319,0.8799999999996201,0.7857142857137756,2.083333333324653e-12,0.6902857142857883,[0.21428571 0.78571429],[ 48 176],0.7857142857140307,0.9999999999994319,0.8799999999996201,0.7857142857151783,2.083333333324653e-12,0.6902857142860689
