Model,Scaler,TP,FP,FN,TN,Macro Precision,Macro Recall,Macro F1,Macro Accuracy,Macro Specificity,Macro Average,Micro Precision,Micro Recall,Micro F1,Micro Accuracy,Micro Specificity,Micro Average,Weights,Samples,Weighted Precision,Weighted Recall,Weighted F1,Weighted Accuracy,Weighted Specificity,Weighted Average
AB,MinMax,177.0000000001,39.0000000001,9.0000000001,13.0000000001,0.8194444444441487,0.9516129032253209,0.8805970149249944,0.7983193277319327,0.2500000000009615,0.7399947380654717,0.8194444444441487,0.9516129032253209,0.8805970149249944,0.7983193277305911,0.2500000000009615,0.7399947380652032,[0.21848739 0.78151261],[ 52 186],0.8194444444441487,0.9516129032253209,0.8805970149249944,0.7983193277319327,0.2500000000009615,0.7399947380654717
AB,Robust,176.0000000001,40.0000000001,10.0000000001,12.0000000001,0.8148148148145233,0.9462365591393052,0.87562189054689,0.7899159663873948,0.23076923077026626,0.7314716923316759,0.8148148148145233,0.9462365591393052,0.87562189054689,0.7899159663860674,0.23076923077026626,0.7314716923314104,[0.21848739 0.78151261],[ 52 186],0.8148148148145233,0.9462365591393052,0.87562189054689,0.7899159663873948,0.23076923077026626,0.7314716923316759
AB,MaxAbs,179.0000000001,38.0000000001,7.0000000001,14.0000000001,0.8248847926264287,0.9623655913973523,0.8883374689822447,0.8109243697487394,0.2692307692316568,0.7511485983972844,0.8248847926264287,0.9623655913973523,0.8883374689822447,0.8109243697473767,0.2692307692316568,0.7511485983970119,[0.21848739 0.78151261],[ 52 186],0.8248847926264287,0.9623655913973523,0.8883374689822447,0.8109243697487394,0.2692307692316568,0.7511485983972844
AB,QT,176.0000000001,37.0000000001,10.0000000001,15.0000000001,0.8262910798119002,0.9462365591393052,0.882205513784078,0.8025210084042016,0.28846153846235206,0.7491431399203673,0.8262910798119002,0.9462365591393052,0.882205513784078,0.802521008402853,0.28846153846235206,0.7491431399200976,[0.21848739 0.78151261],[ 52 186],0.8262910798119002,0.9462365591393052,0.882205513784078,0.8025210084042016,0.28846153846235206,0.7491431399203673
KNN,Normalizer,170.0000000001,40.0000000001,16.0000000001,12.0000000001,0.8095238095235148,0.9139784946232108,0.8585858585854965,0.7647058823537815,0.23076923077026626,0.715512655171254,0.8095238095235148,0.9139784946232108,0.8585858585854965,0.7647058823524964,0.23076923077026626,0.7155126551709969,[0.21848739 0.78151261],[ 52 186],0.8095238095235148,0.9139784946232108,0.8585858585854965,0.7647058823537815,0.23076923077026626,0.715512655171254
KNN,Standard,168.0000000001,34.0000000001,18.0000000001,18.0000000001,0.8316831683165034,0.9032258064511793,0.8659793814429217,0.781512605042857,0.34615384615443784,0.7457109614815798,0.8316831683165034,0.9032258064511793,0.8659793814429217,0.7815126050415437,0.34615384615443784,0.7457109614813172,[0.21848739 0.78151261],[ 52 186],0.8316831683165034,0.9032258064511793,0.8659793814429217,0.781512605042857,0.34615384615443784,0.7457109614815798
KNN,MinMax,168.0000000001,34.0000000001,18.0000000001,18.0000000001,0.8316831683165034,0.9032258064511793,0.8659793814429217,0.781512605042857,0.34615384615443784,0.7457109614815798,0.8316831683165034,0.9032258064511793,0.8659793814429217,0.7815126050415437,0.34615384615443784,0.7457109614813172,[0.21848739 0.78151261],[ 52 186],0.8316831683165034,0.9032258064511793,0.8659793814429217,0.781512605042857,0.34615384615443784,0.7457109614815798
KNN,Robust,167.0000000001,38.0000000001,19.0000000001,14.0000000001,0.8146341463411565,0.8978494623651636,0.8542199488487425,0.7605042016815124,0.2692307692316568,0.7192877056936464,0.8146341463411565,0.8978494623651636,0.8542199488487425,0.7605042016802345,0.2692307692316568,0.7192877056933908,[0.21848739 0.78151261],[ 52 186],0.8146341463411564,0.8978494623651636,0.8542199488487424,0.7605042016815124,0.2692307692316568,0.7192877056936464
KNN,MaxAbs,163.0000000001,35.0000000001,23.0000000001,17.0000000001,0.8232323232319968,0.8763440860211008,0.84895833333297,0.7563025210092436,0.32692307692374256,0.7263520681038107,0.8232323232319968,0.8763440860211008,0.84895833333297,0.7563025210079727,0.32692307692374256,0.7263520681035566,[0.21848739 0.78151261],[ 52 186],0.8232323232319967,0.8763440860211008,0.8489583333329699,0.7563025210092436,0.32692307692374256,0.7263520681038107
KNN,QT,178.0000000001,38.0000000001,8.0000000001,14.0000000001,0.8240740740737741,0.9569892473113366,0.8855721393030991,0.8067226890764705,0.2692307692316568,0.7485177837992674,0.8240740740737741,0.9569892473113366,0.8855721393030991,0.8067226890751148,0.2692307692316568,0.7485177837989963,[0.21848739 0.78151261],[ 52 186],0.8240740740737741,0.9569892473113366,0.8855721393030991,0.8067226890764705,0.2692307692316568,0.7485177837992674
