number,value,datetime_start,datetime_complete,duration,params_FS Ratio,params_FS Tech,params_Model,params_OV Tech,params_Scaler,state
38,0.6596754886526713,2025-03-18 11:38:29.499282,2025-03-18 11:39:12.488328,0 days 00:00:42.989046,30,MI,SGD,SMOTE,QT,COMPLETE
39,0.763296991784686,2025-03-18 11:38:29.678998,2025-03-18 11:39:19.371450,0 days 00:00:49.692452,90,ANOVA,AB,SMOTE,QT,COMPLETE
40,0.7190622920663674,2025-03-18 11:38:30.122439,2025-03-18 11:39:49.139860,0 days 00:01:19.017421,10,,AB,ADASYN,MinMax,COMPLETE
41,0.7314799783547619,2025-03-18 11:38:31.294925,2025-03-18 11:39:41.720761,0 days 00:01:10.425836,60,,MLP,SMOTE,QT,COMPLETE
42,0.0,2025-03-18 11:38:32.543140,2025-03-18 11:39:10.886616,0 days 00:00:38.343476,40,RF,RF,,Normalizer,COMPLETE
43,0.6870103686636709,2025-03-18 11:38:33.109695,2025-03-18 11:39:29.387202,0 days 00:00:56.277507,90,ANOVA,ETs,SMOTE,QT,COMPLETE
44,0.6834302338961784,2025-03-18 11:38:33.411470,2025-03-18 11:39:55.557385,0 days 00:01:22.145915,10,,AB,SMOTE,Standard,COMPLETE
45,0.0,2025-03-18 11:38:33.709718,2025-03-18 11:39:32.433967,0 days 00:00:58.724249,60,LDA,MLP,SMOTE,QT,COMPLETE
46,0.7263024378265384,2025-03-18 11:38:37.658380,2025-03-18 11:39:17.706315,0 days 00:00:40.047935,90,ANOVA,AB,,QT,COMPLETE
47,0.7186157983718557,2025-03-18 11:38:38.903961,2025-03-18 11:39:30.127454,0 days 00:00:51.223493,90,ANOVA,AB,,QT,COMPLETE
48,0.7031249062301239,2025-03-18 11:38:39.135042,2025-03-18 11:39:31.583986,0 days 00:00:52.448944,60,,MLP,SMOTE,QT,COMPLETE
49,0.6902857142860689,2025-03-18 11:38:40.011272,2025-03-18 11:39:28.978789,0 days 00:00:48.967517,90,ANOVA,ETs,,MaxAbs,COMPLETE
50,0.0,2025-03-18 11:38:44.614503,2025-03-18 11:39:31.978122,0 days 00:00:47.363619,60,LDA,MLP,SMOTE,QT,COMPLETE
