Model,Scaler,FS Tech,FS Ratio,TP,FP,FN,TN,Macro Precision,Macro Recall,Macro F1,Macro Accuracy,Macro Specificity,Macro Average,Micro Precision,Micro Recall,Micro F1,Micro Accuracy,Micro Specificity,Micro Average,Weights,Samples,Weighted Precision,Weighted Recall,Weighted F1,Weighted Accuracy,Weighted Specificity,Weighted Average
RF,Standard,MI,70,170.0000000001,32.0000000001,16.0000000001,20.0000000001,0.8415841584155034,0.9139784946232108,0.8762886597934266,0.7983193277319327,0.38461538461582834,0.7629572050359803,0.8415841584155034,0.9139784946232108,0.8762886597934266,0.7983193277305911,0.38461538461582834,0.7629572050357121,[0.21848739 0.78151261],[ 52 186],0.8415841584155034,0.9139784946232108,0.8762886597934266,0.7983193277319327,0.38461538461582834,0.7629572050359803
RF,Standard,MI,80,169.0000000001,35.0000000001,17.0000000001,17.0000000001,0.8284313725486977,0.9086021505371951,0.8666666666662908,0.781512605042857,0.32692307692374256,0.7424271743437567,0.8284313725486977,0.9086021505371951,0.8666666666662908,0.7815126050415437,0.32692307692374256,0.7424271743434939,[0.21848739 0.78151261],[ 52 186],0.8284313725486977,0.9086021505371951,0.8666666666662908,0.781512605042857,0.32692307692374256,0.7424271743437567
RF,Standard,MI,60,174.0000000001,31.0000000001,12.0000000001,21.0000000001,0.8487804878045379,0.9354838709672737,0.8900255754471713,0.8193277310932772,0.40384615384652367,0.7794927638317567,0.8487804878045379,0.9354838709672737,0.8900255754471713,0.8193277310919004,0.40384615384652367,0.7794927638314814,[0.21848739 0.78151261],[ 52 186],0.8487804878045379,0.9354838709672737,0.8900255754471713,0.8193277310932772,0.40384615384652367,0.7794927638317567
RF,Standard,MI,30,168.0000000001,32.0000000001,18.0000000001,20.0000000001,0.83999999999966,0.9032258064511793,0.8704663212431395,0.7899159663873948,0.38461538461582834,0.7576446957394404,0.83999999999966,0.9032258064511793,0.8704663212431395,0.7899159663860674,0.38461538461582834,0.7576446957391749,[0.21848739 0.78151261],[ 52 186],0.8399999999996601,0.9032258064511793,0.8704663212431395,0.7899159663873948,0.38461538461582834,0.7576446957394404
RF,Standard,RFE,20,148.0000000001,24.0000000001,38.0000000001,28.0000000001,0.8604651162786506,0.7956989247308649,0.8268156424577354,0.739495798320168,0.5384615384613906,0.7521874040497619,0.8604651162786506,0.7956989247308649,0.8268156424577354,0.7394957983189253,0.5384615384613906,0.7521874040495133,[0.21848739 0.78151261],[ 52 186],0.8604651162786506,0.7956989247308649,0.8268156424577354,0.739495798320168,0.5384615384613906,0.7521874040497619
RF,Standard,RFE,90,175.0000000001,33.0000000001,11.0000000001,19.0000000001,0.8413461538458257,0.9408602150532894,0.8883248730960523,0.8151260504210083,0.36538461538513306,0.7702083815602617,0.8413461538458257,0.9408602150532894,0.8883248730960523,0.8151260504196385,0.36538461538513306,0.7702083815599878,[0.21848739 0.78151261],[ 52 186],0.8413461538458257,0.9408602150532894,0.8883248730960523,0.8151260504210083,0.36538461538513306,0.7702083815602617
RF,Standard,RFE,50,169.0000000001,27.0000000001,17.0000000001,25.0000000001,0.8622448979588141,0.9086021505371951,0.8848167539262987,0.8151260504210083,0.4807692307693047,0.790311816722524,0.8622448979588141,0.9086021505371951,0.8848167539262987,0.8151260504196385,0.4807692307693047,0.7903118167222501,[0.21848739 0.78151261],[ 52 186],0.862244897958814,0.9086021505371951,0.8848167539262987,0.8151260504210083,0.4807692307693047,0.790311816722524
RF,Standard,RFE,40,168.0000000001,27.0000000001,18.0000000001,25.0000000001,0.8615384615380908,0.9032258064511793,0.8818897637791266,0.8109243697487394,0.4807692307693047,0.787669526457288,0.8615384615380908,0.9032258064511793,0.8818897637791266,0.8109243697473767,0.4807692307693047,0.7876695264570156,[0.21848739 0.78151261],[ 52 186],0.8615384615380908,0.9032258064511793,0.8818897637791266,0.8109243697487394,0.4807692307693047,0.787669526457288
RF,Standard,RFE,70,176.0000000001,33.0000000001,10.0000000001,19.0000000001,0.8421052631575674,0.9462365591393052,0.8911392405059331,0.8193277310932772,0.36538461538513306,0.7728386818562432,0.8421052631575674,0.9462365591393052,0.8911392405059331,0.8193277310919004,0.36538461538513306,0.7728386818559678,[0.21848739 0.78151261],[ 52 186],0.8421052631575674,0.9462365591393052,0.8911392405059331,0.8193277310932772,0.36538461538513306,0.7728386818562432
RF,Standard,RFE,80,175.0000000001,30.0000000001,11.0000000001,22.0000000001,0.8536585365850209,0.9408602150532894,0.8951406649612326,0.8277310924378151,0.42307692307721895,0.7880934864229154,0.8536585365850209,0.9408602150532894,0.8951406649612326,0.8277310924364241,0.42307692307721895,0.7880934864226372,[0.21848739 0.78151261],[ 52 186],0.8536585365850209,0.9408602150532894,0.8951406649612326,0.8277310924378151,0.423076923077219,0.7880934864229154
RF,Standard,RFE,60,176.0000000001,29.0000000001,10.0000000001,23.0000000001,0.8585365853655039,0.9462365591393052,0.9002557544752939,0.8361344537823528,0.4423076923079142,0.796694209014074,0.8585365853655039,0.9462365591393052,0.9002557544752939,0.8361344537809478,0.4423076923079142,0.796694209013793,[0.21848739 0.78151261],[ 52 186],0.8585365853655039,0.9462365591393052,0.9002557544752939,0.8361344537823528,0.4423076923079142,0.796694209014074
RF,Standard,RFE,30,169.0000000001,30.0000000001,17.0000000001,22.0000000001,0.849246231155428,0.9086021505371951,0.8779220779216853,0.8025210084042016,0.42307692307721895,0.7722736782191457,0.849246231155428,0.9086021505371951,0.8779220779216853,0.802521008402853,0.42307692307721895,0.7722736782188762,[0.21848739 0.78151261],[ 52 186],0.8492462311554279,0.9086021505371951,0.8779220779216852,0.8025210084042016,0.423076923077219,0.7722736782191457
RF,QT,ANOVA,20,163.0000000001,27.0000000001,23.0000000001,25.0000000001,0.8578947368417286,0.8763440860211008,0.8670212765953542,0.7899159663873948,0.4807692307693047,0.7743890593229766,0.8578947368417286,0.8763440860211008,0.8670212765953542,0.7899159663860674,0.4807692307693047,0.7743890593227112,[0.21848739 0.78151261],[ 52 186],0.8578947368417287,0.8763440860211008,0.8670212765953543,0.7899159663873948,0.4807692307693047,0.7743890593229766
RF,QT,ANOVA,90,169.0000000001,23.0000000001,17.0000000001,29.0000000001,0.8802083333329374,0.9086021505371951,0.8941798941794771,0.831932773110084,0.5576923076920858,0.8145230917703559,0.8802083333329374,0.9086021505371951,0.8941798941794771,0.8319327731086859,0.5576923076920858,0.8145230917700761,[0.21848739 0.78151261],[ 52 186],0.8802083333329374,0.9086021505371951,0.8941798941794771,0.831932773110084,0.5576923076920858,0.8145230917703559
RF,QT,ANOVA,50,169.0000000001,28.0000000001,17.0000000001,24.0000000001,0.8578680203042053,0.9086021505371951,0.8825065274147442,0.8109243697487394,0.46153846153860945,0.7842879059086987,0.8578680203042053,0.9086021505371951,0.8825065274147442,0.8109243697473767,0.46153846153860945,0.7842879059084262,[0.21848739 0.78151261],[ 52 186],0.8578680203042053,0.9086021505371951,0.8825065274147442,0.8109243697487394,0.46153846153860945,0.7842879059086987
RF,QT,ANOVA,40,168.0000000001,32.0000000001,18.0000000001,20.0000000001,0.83999999999966,0.9032258064511793,0.8704663212431395,0.7899159663873948,0.38461538461582834,0.7576446957394404,0.83999999999966,0.9032258064511793,0.8704663212431395,0.7899159663860674,0.38461538461582834,0.7576446957391749,[0.21848739 0.78151261],[ 52 186],0.8399999999996601,0.9032258064511793,0.8704663212431395,0.7899159663873948,0.38461538461582834,0.7576446957394404
RF,QT,ANOVA,70,180.0000000001,29.0000000001,6.0000000001,23.0000000001,0.8612440191384103,0.9677419354833681,0.9113924050628746,0.8529411764714284,0.4423076923079142,0.8071254456927992,0.8612440191384103,0.9677419354833681,0.9113924050628746,0.8529411764699951,0.4423076923079142,0.8071254456925125,[0.21848739 0.78151261],[ 52 186],0.8612440191384103,0.9677419354833681,0.9113924050628746,0.8529411764714284,0.4423076923079142,0.8071254456927992
