number,value,datetime_start,datetime_complete,duration,params_FS Ratio,params_FS Tech,params_Model,params_OV Tech,params_Scaler,state
38,0.0,2025-03-18 12:24:23.472952,2025-03-18 12:25:04.027974,0 days 00:00:40.555022,80,Chi2,AB,,Standard,COMPLETE
39,0.7576060473267463,2025-03-18 12:24:23.599534,2025-03-18 12:25:12.171370,0 days 00:00:48.571836,60,RFE,MLP,SMOTE,MaxAbs,COMPLETE
40,0.7598364759126987,2025-03-18 12:24:23.724590,2025-03-18 12:24:47.461592,0 days 00:00:23.737002,80,Chi2,AB,,QT,COMPLETE
41,0.0,2025-03-18 12:24:23.850170,2025-03-18 12:25:10.266494,0 days 00:00:46.416324,30,RF,AB,SVMSMOTE,MinMax,COMPLETE
42,0.763961212537733,2025-03-18 12:24:23.991304,2025-03-18 12:25:10.282116,0 days 00:00:46.290812,90,ANOVA,AB,SVMSMOTE,,COMPLETE
43,0.0,2025-03-18 12:24:24.007340,2025-03-18 12:25:06.654506,0 days 00:00:42.647166,50,RF,SGD,BorderlineSMOTE,MinMax,COMPLETE
44,0.0,2025-03-18 12:24:24.163642,2025-03-18 12:25:10.062235,0 days 00:00:45.898593,10,LDA,KNN,SVMSMOTE,QT,COMPLETE
45,0.7446831763009304,2025-03-18 12:24:24.401706,2025-03-18 12:24:49.680932,0 days 00:00:25.279226,90,Chi2,KNN,,QT,COMPLETE
46,0.7724921097420419,2025-03-18 12:24:24.542728,2025-03-18 12:25:31.066056,0 days 00:01:06.523328,100,,ETs,BorderlineSMOTE,Standard,COMPLETE
47,0.7292466587288288,2025-03-18 12:24:24.652667,2025-03-18 12:25:16.067141,0 days 00:00:51.414474,70,MI,ETs,BorderlineSMOTE,Normalizer,COMPLETE
48,0.7769534632033104,2025-03-18 12:24:24.778090,2025-03-18 12:25:15.155915,0 days 00:00:50.377825,30,MI,ETs,ADASYN,QT,COMPLETE
49,0.0,2025-03-18 12:24:24.904053,2025-03-18 12:25:02.973131,0 days 00:00:38.069078,20,Chi2,AB,SMOTE,MaxAbs,COMPLETE
50,0.7760369242163179,2025-03-18 12:24:25.045294,2025-03-18 12:25:29.589859,0 days 00:01:04.544565,60,RFE,MLP,BorderlineSMOTE,Standard,COMPLETE
51,0.0,2025-03-18 12:24:25.170825,2025-03-18 12:24:52.163459,0 days 00:00:26.992634,30,LDA,ETs,SMOTE,Robust,COMPLETE
