Model,Scaler,FS Tech,FS Ratio,TP,FP,FN,TN,Macro Precision,Macro Recall,Macro F1,Macro Accuracy,Macro Specificity,Macro Average,Micro Precision,Micro Recall,Micro F1,Micro Accuracy,Micro Specificity,Micro Average,Weights,Samples,Weighted Precision,Weighted Recall,Weighted F1,Weighted Accuracy,Weighted Specificity,Weighted Average
RF,MaxAbs,MI,50,167.0000000001,28.0000000001,9.0000000001,20.0000000001,0.8564102564098909,0.9488636363631263,0.9002695417785442,0.8348214285723213,0.4166666666670139,0.7914063059581793,0.8564102564098909,0.9488636363631263,0.9002695417785442,0.8348214285708307,0.4166666666670139,0.7914063059578812,[0.21428571 0.78571429],[ 48 176],0.8564102564098909,0.9488636363631263,0.9002695417785442,0.8348214285723213,0.4166666666670139,0.7914063059581793
RF,MaxAbs,MI,70,170.0000000001,30.0000000001,6.0000000001,18.0000000001,0.84999999999965,0.9659090909085616,0.9042553191485062,0.839285714286607,0.3750000000005208,0.7868900248687691,0.84999999999965,0.9659090909085616,0.9042553191485062,0.8392857142851085,0.3750000000005208,0.7868900248684695,[0.21428571 0.78571429],[ 48 176],0.84999999999965,0.9659090909085616,0.9042553191485062,0.839285714286607,0.3750000000005208,0.7868900248687691
RF,MaxAbs,MI,90,168.0000000001,23.0000000001,8.0000000001,25.0000000001,0.8795811518320633,0.9545454545449381,0.915531335149411,0.8616071428580356,0.5208333333332466,0.826419683543539,0.8795811518320633,0.9545454545449381,0.915531335149411,0.8616071428564972,0.5208333333332466,0.8264196835432311,[0.21428571 0.78571429],[ 48 176],0.8795811518320633,0.9545454545449381,0.915531335149411,0.8616071428580356,0.5208333333332466,0.826419683543539
RF,MaxAbs,MI,60,168.0000000001,27.0000000001,8.0000000001,21.0000000001,0.8615384615380908,0.9545454545449381,0.9056603773580533,0.8437500000008927,0.4375000000002604,0.800598858688447,0.8615384615380908,0.9545454545449381,0.9056603773580533,0.8437499999993863,0.4375000000002604,0.8005988586881457,[0.21428571 0.78571429],[ 48 176],0.8615384615380908,0.9545454545449381,0.9056603773580533,0.8437500000008927,0.4375000000002604,0.800598858688447
RF,MaxAbs,MI,10,166.0000000001,35.0000000001,10.0000000001,13.0000000001,0.825870646765845,0.9431818181813146,0.8806366047741319,0.7991071428580356,0.27083333333428816,0.743925909182723,0.825870646765845,0.9431818181813146,0.8806366047741319,0.7991071428566088,0.27083333333428816,0.7439259091824376,[0.21428571 0.78571429],[ 48 176],0.825870646765845,0.9431818181813146,0.8806366047741319,0.7991071428580356,0.27083333333428816,0.743925909182723
RF,MaxAbs,MI,80,162.0000000001,34.0000000001,14.0000000001,14.0000000001,0.8265306122445648,0.9204545454540677,0.8709677419350851,0.7857142857151784,0.2916666666675347,0.739066770403286,0.8265306122445648,0.9204545454540677,0.8709677419350851,0.7857142857137756,0.2916666666675347,0.7390667704030056,[0.21428571 0.78571429],[ 48 176],0.8265306122445648,0.9204545454540677,0.8709677419350851,0.7857142857151783,0.2916666666675347,0.739066770403286
RF,MaxAbs,MI,40,169.0000000001,32.0000000001,7.0000000001,16.0000000001,0.8407960199001585,0.9602272727267498,0.8965517241375104,0.8258928571437499,0.3333333333340277,0.7713602414484393,0.8407960199001585,0.9602272727267498,0.8965517241375104,0.8258928571422752,0.3333333333340277,0.7713602414481443,[0.21428571 0.78571429],[ 48 176],0.8407960199001585,0.9602272727267498,0.8965517241375104,0.8258928571437499,0.3333333333340277,0.7713602414484393
RF,MaxAbs,MI,30,162.0000000001,24.0000000001,14.0000000001,24.0000000001,0.8709677419350851,0.9204545454540677,0.8950276243089558,0.8303571428580356,0.5,0.8033614109112289,0.8709677419350851,0.9204545454540677,0.8950276243089558,0.830357142856553,0.5,0.8033614109109323,[0.21428571 0.78571429],[ 48 176],0.8709677419350851,0.9204545454540677,0.8950276243089558,0.8303571428580356,0.5,0.8033614109112289
RF,MaxAbs,MI,20,167.0000000001,29.0000000001,9.0000000001,19.0000000001,0.8520408163261715,0.9488636363631263,0.8978494623651637,0.8303571428580356,0.39583333333376736,0.7849888782492529,0.8520408163261715,0.9488636363631263,0.8978494623651637,0.830357142856553,0.39583333333376736,0.7849888782489564,[0.21428571 0.78571429],[ 48 176],0.8520408163261715,0.9488636363631263,0.8978494623651637,0.8303571428580356,0.39583333333376736,0.7849888782492529
RF,MaxAbs,PCA,50,168.0000000001,32.0000000001,8.0000000001,16.0000000001,0.83999999999966,0.9545454545449381,0.893617021276177,0.8214285714294641,0.3333333333340277,0.7685848761168534,0.83999999999966,0.9545454545449381,0.893617021276177,0.8214285714279975,0.3333333333340277,0.7685848761165601,[0.21428571 0.78571429],[ 48 176],0.83999999999966,0.9545454545449381,0.893617021276177,0.8214285714294641,0.3333333333340277,0.7685848761168534
