number,value,datetime_start,datetime_complete,duration,params_FS Ratio,params_FS Tech,params_Model,params_OV Tech,params_Scaler,state
39,0.0,2025-03-18 11:25:45.431267,2025-03-18 11:26:19.561383,0 days 00:00:34.130116,10,MI,ETs,SVMSMOTE,Robust,COMPLETE
40,0.0,2025-03-18 11:25:45.572939,2025-03-18 11:26:06.971638,0 days 00:00:21.398699,100,LDA,AB,SVMSMOTE,Normalizer,COMPLETE
41,0.6880767401303409,2025-03-18 11:25:45.711466,2025-03-18 11:26:36.906444,0 days 00:00:51.194978,20,PCA,DT,,,COMPLETE
42,0.5107102890784743,2025-03-18 11:25:45.711466,2025-03-18 11:26:22.471265,0 days 00:00:36.759799,60,,RF,SMOTE,Robust,COMPLETE
43,0.6339363806697561,2025-03-18 11:25:45.881608,2025-03-18 11:26:13.981708,0 days 00:00:28.100100,40,Chi2,KNN,BorderlineSMOTE,QT,COMPLETE
44,0.6854459578621426,2025-03-18 11:25:46.221249,2025-03-18 11:27:24.182384,0 days 00:01:37.961135,20,RFE,DT,,,COMPLETE
45,0.34369747899170267,2025-03-18 11:25:46.506225,2025-03-18 11:26:31.871443,0 days 00:00:45.365218,60,,SGD,BorderlineSMOTE,Normalizer,COMPLETE
46,0.6880767401303409,2025-03-18 11:25:46.671503,2025-03-18 11:26:41.761865,0 days 00:00:55.090362,70,ANOVA,DT,,,COMPLETE
47,0.6880767401303409,2025-03-18 11:25:46.861249,2025-03-18 11:26:55.746336,0 days 00:01:08.885087,70,PCA,MLP,,,COMPLETE
48,0.6880767401303409,2025-03-18 11:25:47.102385,2025-03-18 11:26:57.771615,0 days 00:01:10.669230,20,ANOVA,DT,,,COMPLETE
49,0.5816027872411558,2025-03-18 11:25:47.311499,2025-03-18 11:26:23.764981,0 days 00:00:36.453482,30,,MLP,BorderlineSMOTE,Robust,COMPLETE
50,0.6880767401303409,2025-03-18 11:25:47.480415,2025-03-18 11:27:01.751578,0 days 00:01:14.271163,70,RFE,DT,,Normalizer,COMPLETE
51,0.6880767401303409,2025-03-18 11:25:47.637521,2025-03-18 11:27:11.788722,0 days 00:01:24.151201,70,RFE,DT,,Normalizer,COMPLETE
52,0.6880767401303409,2025-03-18 11:25:52.692501,2025-03-18 11:27:24.245387,0 days 00:01:31.552886,70,RFE,DT,,Normalizer,COMPLETE
53,0.6880767401303409,2025-03-18 11:25:56.531606,2025-03-18 11:27:27.490790,0 days 00:01:30.959184,70,ANOVA,DT,,,COMPLETE
54,0.6854459578621426,2025-03-18 11:26:06.021406,2025-03-18 11:27:25.702735,0 days 00:01:19.681329,70,RFE,DT,,Normalizer,COMPLETE
55,0.6880767401303409,2025-03-18 11:26:07.401289,2025-03-18 11:27:24.170370,0 days 00:01:16.769081,70,RFE,DT,,Normalizer,COMPLETE
56,0.6880767401303409,2025-03-18 11:26:30.701441,2025-03-18 11:27:43.191438,0 days 00:01:12.489997,70,RFE,MLP,,,COMPLETE
57,0.6880767401303409,2025-03-18 11:26:34.511356,2025-03-18 11:27:26.724763,0 days 00:00:52.213407,70,RFE,MLP,,,COMPLETE
58,0.6880767401303409,2025-03-18 11:26:35.313657,2025-03-18 11:27:27.025245,0 days 00:00:51.711588,70,RFE,DT,,,COMPLETE
59,0.6369869395994938,2025-03-18 11:26:36.151235,2025-03-18 11:27:43.821804,0 days 00:01:07.670569,50,RFE,MLP,SVMSMOTE,MinMax,COMPLETE
60,0.6880767401303409,2025-03-18 11:26:36.781584,2025-03-18 11:27:47.361708,0 days 00:01:10.580124,20,RFE,MLP,SVMSMOTE,MinMax,COMPLETE
61,0.6880767401303409,2025-03-18 11:26:37.246326,2025-03-18 11:27:28.801827,0 days 00:00:51.555501,70,RFE,MLP,,,COMPLETE
62,0.6859381668303224,2025-03-18 11:26:37.535209,2025-03-18 11:27:56.875110,0 days 00:01:19.339901,50,RFE,RF,SVMSMOTE,MinMax,COMPLETE
63,0.696372989542114,2025-03-18 11:26:38.671490,2025-03-18 11:27:45.876306,0 days 00:01:07.204816,50,RFE,RF,SVMSMOTE,MinMax,COMPLETE
64,0.0,2025-03-18 11:26:39.116482,2025-03-18 11:27:50.881567,0 days 00:01:11.765085,80,RF,RF,SVMSMOTE,MinMax,COMPLETE
65,0.6880767401303409,2025-03-18 11:26:39.496392,2025-03-18 11:27:30.974193,0 days 00:00:51.477801,20,RFE,MLP,,,COMPLETE
66,0.6880767401303409,2025-03-18 11:26:39.676587,2025-03-18 11:27:43.191438,0 days 00:01:03.514851,20,RFE,MLP,,MinMax,COMPLETE
67,0.6651227413052526,2025-03-18 11:26:40.206285,2025-03-18 11:27:48.671437,0 days 00:01:08.465152,50,RFE,MLP,SVMSMOTE,MinMax,COMPLETE
68,0.0,2025-03-18 11:26:40.754905,2025-03-18 11:28:13.993762,0 days 00:01:33.238857,80,RF,RF,ADASYN,QT,COMPLETE
69,0.6673590891940597,2025-03-18 11:26:40.993566,2025-03-18 11:27:49.986317,0 days 00:01:08.992751,50,RFE,MLP,SVMSMOTE,MinMax,COMPLETE
70,0.6880767401303409,2025-03-18 11:26:41.201484,2025-03-18 11:27:37.291353,0 days 00:00:56.089869,20,RFE,MLP,SVMSMOTE,MinMax,COMPLETE
71,0.6880767401303409,2025-03-18 11:26:41.391746,2025-03-18 11:27:37.281460,0 days 00:00:55.889714,50,RFE,MLP,,MinMax,COMPLETE
72,0.5151000094150892,2025-03-18 11:26:41.731720,2025-03-18 11:27:51.551518,0 days 00:01:09.819798,80,PCA,RF,ADASYN,MinMax,COMPLETE
73,0.6624394375820676,2025-03-18 11:26:42.561464,2025-03-18 11:27:43.416679,0 days 00:01:00.855215,20,RFE,MLP,SVMSMOTE,MinMax,COMPLETE
74,0.7090801293008646,2025-03-18 11:26:42.720889,2025-03-18 11:27:59.311592,0 days 00:01:16.590703,50,RFE,RF,SVMSMOTE,QT,COMPLETE
75,0.0,2025-03-18 11:26:43.466586,2025-03-18 11:28:04.831735,0 days 00:01:21.365149,50,RF,RF,SVMSMOTE,MinMax,COMPLETE
76,0.0,2025-03-18 11:26:45.781431,2025-03-18 11:27:47.626639,0 days 00:01:01.845208,50,RF,RF,SVMSMOTE,QT,COMPLETE
77,0.0,2025-03-18 11:26:49.751442,2025-03-18 11:27:44.181768,0 days 00:00:54.430326,50,RF,RF,SVMSMOTE,MinMax,COMPLETE
78,0.6704075978607407,2025-03-18 11:26:50.901446,2025-03-18 11:27:48.295042,0 days 00:00:57.393596,50,RFE,MLP,SVMSMOTE,MinMax,COMPLETE
79,0.6558529294498245,2025-03-18 11:26:52.363773,2025-03-18 11:27:48.781451,0 days 00:00:56.417678,50,RFE,MLP,SVMSMOTE,MinMax,COMPLETE
80,0.0,2025-03-18 11:26:53.201677,2025-03-18 11:27:45.631486,0 days 00:00:52.429809,10,RF,RF,SVMSMOTE,MinMax,COMPLETE
81,0.6753473348561533,2025-03-18 11:26:55.001838,2025-03-18 11:27:48.513327,0 days 00:00:53.511489,50,RFE,RF,SVMSMOTE,MaxAbs,COMPLETE
82,0.6880767401303409,2025-03-18 11:26:56.032486,2025-03-18 11:28:09.436353,0 days 00:01:13.403867,90,PCA,KNN,,QT,COMPLETE
83,0.6854459578621426,2025-03-18 11:26:56.706382,2025-03-18 11:28:13.833108,0 days 00:01:17.126726,90,PCA,KNN,,QT,COMPLETE
84,0.0,2025-03-18 11:26:57.461605,2025-03-18 11:27:47.351740,0 days 00:00:49.890135,80,RF,RF,ADASYN,MinMax,COMPLETE
85,0.6880767401303409,2025-03-18 11:27:00.939189,2025-03-18 11:28:15.520454,0 days 00:01:14.581265,90,PCA,KNN,,QT,COMPLETE
86,0.0,2025-03-18 11:27:02.781214,2025-03-18 11:27:46.927823,0 days 00:00:44.146609,50,RF,RF,SVMSMOTE,MinMax,COMPLETE
87,0.0,2025-03-18 11:27:05.403496,2025-03-18 11:27:51.563181,0 days 00:00:46.159685,80,RF,RF,ADASYN,MinMax,COMPLETE
88,0.6585223763354029,2025-03-18 11:27:06.451674,2025-03-18 11:28:01.023140,0 days 00:00:54.571466,90,PCA,KNN,SMOTE,QT,COMPLETE
89,0.0,2025-03-18 11:27:10.913625,2025-03-18 11:27:47.993230,0 days 00:00:37.079605,80,RF,RF,ADASYN,MinMax,COMPLETE
90,0.6828110974336358,2025-03-18 11:27:16.142209,2025-03-18 11:28:05.361993,0 days 00:00:49.219784,90,Chi2,KNN,SMOTE,MaxAbs,COMPLETE
91,0.6880767401303409,2025-03-18 11:27:17.596694,2025-03-18 11:28:49.085445,0 days 00:01:31.488751,20,MI,DT,BorderlineSMOTE,,COMPLETE
