Macro Precision,Macro Recall,Macro F1,Macro Accuracy,Macro Specificity,Micro Precision,Micro Recall,Micro F1,Micro Accuracy,Micro Specificity,Weighted Precision,Weighted Recall,Weighted F1,Weighted Accuracy,Weighted Specificity,TP,TN,FP,FN,Model,FS-Percentage,FS-Technique,OV-Technique
0.17751630796013962,0.17972112751233887,0.17861191381708766,0.19508196721311474,0.9185838448516961,0.19508196721311474,0.19508196721311474,0.19508196721311474,0.19508196721311474,0.9195081967213115,0.19448560257222894,0.19508196721311474,0.1947833284239967,0.19508196721311474,0.9093403261555415,[22 11  7  8 21 21  8  2  3  2 14],[500 491 482 480 485 498 500 565 555 572 481],[41 50 60 61 60 47 44 17 34 17 60],[47 58 61 61 44 44 58 26 18 19 55],RandomForestClassifier,5,f_classif,SMOTE
0.18028286871244525,0.18442656700038704,0.18233117824677056,0.19344262295081968,0.918489845902883,0.19344262295081968,0.19344262295081968,0.19344262295081968,0.19344262295081968,0.9193442622950819,0.19432461769057338,0.19344262295081968,0.1938826172515362,0.19344262295081968,0.9099456819808941,[18 11  7  9 21 21  8  2  5  2 14],[501 491 482 480 485 498 500 568 546 573 484],[40 50 60 61 60 47 44 14 43 16 57],[51 58 61 60 44 44 58 26 16 19 55],RandomForestClassifier,5,f_classif,ADASYN
0.1789584594587815,0.1851323829235943,0.18199307528391384,0.19672131147540983,0.9187537402175722,0.19672131147540983,0.19672131147540983,0.1967213114754098,0.19672131147540983,0.919672131147541,0.1950786286005455,0.1967213114754098,0.19589652643481267,0.19672131147540983,0.9095698309178856,[21 11  7  9 21 21  8  1  5  2 14],[501 490 482 480 485 498 500 566 551 575 482],[40 51 60 61 60 47 44 16 38 14 59],[48 58 61 60 44 44 58 27 16 19 55],RandomForestClassifier,5,f_classif,BorderlineSMOTE
0.1814173526277235,0.1840501318413432,0.18272425913865992,0.19672131147540983,0.9186834129430043,0.19672131147540983,0.19672131147540983,0.1967213114754098,0.19672131147540983,0.919672131147541,0.19447845820738502,0.19672131147540983,0.1955934554015412,0.19672131147540983,0.908796230897637,[21 11  7  9 21 21  8  2  4  2 14],[496 489 482 480 485 498 500 565 555 577 483],[45 52 60 61 60 47 44 17 34 12 58],[48 58 61 60 44 44 58 26 17 19 55],RandomForestClassifier,5,f_classif,SVMSMOTE
0.43999624969574413,0.4113253792630683,0.4251780246715327,0.43278688524590164,0.9425677001006559,0.43278688524590164,0.43278688524590164,0.43278688524590164,0.43278688524590164,0.9432786885245902,0.44608330839299054,0.4327868852459016,0.43933451605690227,0.43278688524590164,0.935457815861313,[60 47 15 17 27 29 14  5  7  9 34],[530 524 494 493 510 501 487 580 572 568 495],[11 17 48 48 35 44 57  2 17 21 46],[ 9 22 53 52 38 36 52 23 14 12 35],RandomForestClassifier,10,f_classif,SMOTE
0.4214930586479785,0.4182083513634316,0.4198442805184906,0.4377049180327869,0.9431020641308756,0.4377049180327869,0.4377049180327869,0.4377049180327868,0.4377049180327869,0.9437704918032787,0.43891724387769293,0.4377049180327869,0.43831024266137847,0.4377049180327869,0.9364177874068451,[61 49 15 18 27 28 14  5  9  8 33],[531 526 496 491 506 502 492 575 573 569 496],[10 15 46 50 39 43 52  7 16 20 45],[ 8 20 53 51 38 37 52 23 12 13 36],RandomForestClassifier,10,f_classif,ADASYN
0.4266566966163481,0.4240768686478987,0.4253628710006688,0.44098360655737706,0.943392736146757,0.44098360655737706,0.44098360655737706,0.44098360655737706,0.44098360655737706,0.9440983606557377,0.4402919105449851,0.440983606557377,0.44063748710180783,0.44098360655737706,0.9363364910569493,[60 48 13 20 27 29 17  5  9  9 32],[531 522 499 487 506 504 493 575 573 572 497],[10 19 43 54 39 41 51  7 16 17 44],[ 9 21 55 49 38 36 49 23 12 12 37],RandomForestClassifier,10,f_classif,BorderlineSMOTE
0.41908333544816523,0.4114832040779495,0.41524849711445205,0.4344262295081967,0.9427389052635746,0.4344262295081967,0.4344262295081967,0.4344262295081967,0.4344262295081967,0.9434426229508197,0.4365261519345671,0.43442622950819676,0.43547365919710423,0.4344262295081967,0.9357017283911251,[62 48 13 20 25 32 12  6  7  8 32],[531 527 488 490 509 497 493 573 577 569 501],[10 14 54 51 36 48 51  9 12 20 40],[ 7 21 55 49 40 33 54 22 14 13 37],RandomForestClassifier,10,f_classif,SVMSMOTE
0.48992592557899123,0.47044243441592903,0.47998654415078196,0.5049180327868853,0.9498917383278834,0.5049180327868853,0.5049180327868853,0.5049180327868853,0.5049180327868853,0.9504918032786885,0.5135665691072159,0.5049180327868852,0.5092055811084073,0.5049180327868853,0.9438910888198327,[60 47 23 27 31 32 25  8  9  5 41],[528 528 497 491 514 517 497 576 576 570 504],[13 13 45 50 31 28 47  6 13 19 37],[ 9 22 45 42 34 33 41 20 12 16 28],RandomForestClassifier,15,f_classif,SMOTE
0.48562271756314246,0.4730257148880725,0.47924145153783243,0.5,0.9494148849987906,0.5,0.5,0.5,0.5,0.95,0.5047597883114554,0.5,0.5023686200258145,0.5,0.9435637349866942,[61 49 24 24 29 26 26  7 10  7 42],[526 528 499 497 506 515 497 577 572 572 506],[15 13 43 44 39 30 47  5 17 17 35],[ 8 20 44 45 36 39 40 21 11 14 27],RandomForestClassifier,15,f_classif,ADASYN
