number,value,datetime_start,datetime_complete,duration,params_model,params_normTechnique,params_sampleTechnique,user_attrs_binIndices,user_attrs_hyperparams,state
921,0.7935483868407908,2024-07-08 12:42:59.515096,2024-07-08 12:43:29.152139,0 days 00:00:29.637043,ExtraTreesClassifier,RobustScaler,,"[1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1]","{'n_estimators': 500, 'max_features': 'sqrt', 'max_depth': 500, 'min_samples_split': 200, 'min_samples_leaf': 100, 'bootstrap': True}",COMPLETE
922,0.0,2024-07-08 12:42:59.815125,2024-07-08 12:43:21.648136,0 days 00:00:21.833011,ExtraTreesClassifier,,,,"{'n_estimators': 500, 'max_features': None, 'max_depth': 500, 'min_samples_split': 5, 'min_samples_leaf': 5, 'bootstrap': False}",COMPLETE
923,0.635483870762747,2024-07-08 12:42:59.918145,2024-07-08 12:43:42.593094,0 days 00:00:42.674949,ExtraTreesClassifier,Normalize_Max_1,ADASYN,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1]","{'n_estimators': 2000, 'max_features': 'log2', 'max_depth': 500, 'min_samples_split': 10, 'min_samples_leaf': 1, 'bootstrap': True}",COMPLETE
924,0.7903225803902184,2024-07-08 12:43:00.928093,2024-07-08 12:43:25.460122,0 days 00:00:24.532029,XGBClassifier,RobustScaler,,"[1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","{'n_estimators': 10, 'learning_rate': 0.5, 'max_depth': 3, 'min_child_weight': 10, 'subsample': 0.5, 'colsample_bytree': 1.0, 'gamma': 0.1, 'reg_alpha': 0.1, 'reg_lambda': 1.0}",COMPLETE
925,0.7645161287856399,2024-07-08 12:43:01.046138,2024-07-08 12:43:41.724138,0 days 00:00:40.678000,XGBClassifier,Normalize_L2_1,,"[1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0]","{'n_estimators': 1000, 'learning_rate': 0.01, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.7, 'colsample_bytree': 0.5, 'gamma': 0.0, 'reg_alpha': 0.0, 'reg_lambda': 0.1}",COMPLETE
926,0.7645161287856399,2024-07-08 12:43:01.645139,2024-07-08 12:43:29.452138,0 days 00:00:27.806999,XGBClassifier,Normalize_L2_1,,"[0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0]","{'n_estimators': 10, 'learning_rate': 0.5, 'max_depth': 7, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 1.0, 'gamma': 0.1, 'reg_alpha': 0.1, 'reg_lambda': 0.1}",COMPLETE
927,0.5483870965972945,2024-07-08 12:43:02.078139,2024-07-08 12:43:23.641093,0 days 00:00:21.562954,ExtraTreesClassifier,RobustScaler,ADASYN,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1]","{'n_estimators': 100, 'max_features': None, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 10, 'bootstrap': True}",COMPLETE
928,0.0,2024-07-08 12:43:02.213123,2024-07-08 12:43:15.807127,0 days 00:00:13.594004,MLPClassifier,,,,,COMPLETE
929,0.0,2024-07-08 12:43:02.906094,2024-07-08 12:43:26.224123,0 days 00:00:23.318029,ExtraTreesClassifier,,,,"{'n_estimators': 10, 'max_features': None, 'max_depth': 100, 'min_samples_split': 100, 'min_samples_leaf': 1, 'bootstrap': True}",COMPLETE
930,0.7838709674890738,2024-07-08 12:43:03.009149,2024-07-08 12:43:23.790137,0 days 00:00:20.780988,ExtraTreesClassifier,RobustScaler,,"[0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0]","{'n_estimators': 200, 'max_features': 'log2', 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 5, 'bootstrap': False}",COMPLETE
931,0.7935483868407908,2024-07-08 12:43:03.938139,2024-07-08 12:43:27.470122,0 days 00:00:23.531983,ExtraTreesClassifier,RobustScaler,,"[1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1]","{'n_estimators': 100, 'max_features': 'sqrt', 'max_depth': None, 'min_samples_split': 100, 'min_samples_leaf': 5, 'bootstrap': False}",COMPLETE
932,0.7935483868407908,2024-07-08 12:43:04.053138,2024-07-08 12:43:29.522094,0 days 00:00:25.468956,XGBClassifier,Normalize_L2_1,,"[1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]","{'n_estimators': 100, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 10, 'subsample': 1.0, 'colsample_bytree': 1.0, 'gamma': 0.5, 'reg_alpha': 0.1, 'reg_lambda': 0.1}",COMPLETE
933,0.0,2024-07-08 12:43:04.166128,2024-07-08 12:43:27.472123,0 days 00:00:23.305995,ExtraTreesClassifier,RobustScaler,ADASYN,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0]","{'n_estimators': 1000, 'max_features': 'auto', 'max_depth': 1000, 'min_samples_split': 100, 'min_samples_leaf': 100, 'bootstrap': True}",COMPLETE
934,0.7483870965327784,2024-07-08 12:43:04.501124,2024-07-08 12:43:25.811139,0 days 00:00:21.310015,ExtraTreesClassifier,Normalize_Max_1,,"[0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1]","{'n_estimators': 50, 'max_features': None, 'max_depth': 50, 'min_samples_split': 50, 'min_samples_leaf': 1, 'bootstrap': False}",COMPLETE
935,0.7806451610385015,2024-07-08 12:43:04.578126,2024-07-08 12:43:40.942141,0 days 00:00:36.364015,RandomForestClassifier,Normalize_L2_1,,"[1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0]","{'n_estimators': 50, 'max_features': 'sqrt', 'max_depth': 50, 'min_samples_split': 5, 'min_samples_leaf': 2, 'bootstrap': True}",COMPLETE
936,0.5387096772455775,2024-07-08 12:43:05.227138,2024-07-08 12:43:25.462124,0 days 00:00:20.234986,ExtraTreesClassifier,RobustScaler,ADASYN,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1]","{'n_estimators': 200, 'max_features': None, 'max_depth': 200, 'min_samples_split': 2, 'min_samples_leaf': 5, 'bootstrap': False}",COMPLETE
937,0.5709677417513007,2024-07-08 12:43:06.396128,2024-07-08 12:43:29.161140,0 days 00:00:22.765012,XGBClassifier,Normalize_L1_1,,"[1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0]","{'n_estimators': 1000, 'learning_rate': 10.0, 'max_depth': 3, 'min_child_weight': 5, 'subsample': 0.7, 'colsample_bytree': 1.0, 'gamma': 0.1, 'reg_alpha': 1.0, 'reg_lambda': 0.1}",COMPLETE
938,0.7774193545879292,2024-07-08 12:43:09.352124,2024-07-08 12:43:31.392125,0 days 00:00:22.040001,XGBClassifier,Normalize_L2_1,,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0]","{'n_estimators': 50, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 10, 'subsample': 0.7, 'colsample_bytree': 0.7, 'gamma': 0.0, 'reg_alpha': 1.0, 'reg_lambda': 0.1}",COMPLETE
939,0.7935483868407908,2024-07-08 12:43:09.979139,2024-07-08 12:43:31.321142,0 days 00:00:21.342003,XGBClassifier,Normalize_L2_1,,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0]","{'n_estimators': 50, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 3, 'subsample': 0.5, 'colsample_bytree': 1.0, 'gamma': 0.5, 'reg_alpha': 0.1, 'reg_lambda': 0.0}",COMPLETE
940,0.7935483868407908,2024-07-08 12:43:10.838138,2024-07-08 12:43:28.461129,0 days 00:00:17.622991,XGBClassifier,Normalize_L2_1,,"[0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0]","{'n_estimators': 10, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.7, 'gamma': 0.0, 'reg_alpha': 0.0, 'reg_lambda': 0.0}",COMPLETE
941,0.3161290321560874,2024-07-08 12:43:11.257123,2024-07-08 12:43:26.085138,0 days 00:00:14.828015,XGBClassifier,Normalize_Max_1,ADASYN,"[1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1]","{'n_estimators': 10, 'learning_rate': 10.0, 'max_depth': 9, 'min_child_weight': 10, 'subsample': 1.0, 'colsample_bytree': 0.7, 'gamma': 0.1, 'reg_alpha': 1.0, 'reg_lambda': 1.0}",COMPLETE
942,0.7935483868407908,2024-07-08 12:43:12.526139,2024-07-08 12:43:45.586123,0 days 00:00:33.059984,XGBClassifier,RobustScaler,,"[0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1]","{'n_estimators': 10, 'learning_rate': 0.01, 'max_depth': 9, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 0.7, 'gamma': 0.0, 'reg_alpha': 0.0, 'reg_lambda': 0.1}",COMPLETE
943,0.49999999983870963,2024-07-08 12:43:13.288126,2024-07-08 12:43:50.335139,0 days 00:00:37.047013,RandomForestClassifier,Normalize_L1_1,SMOTEENN,"[1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0]","{'n_estimators': 200, 'max_features': None, 'max_depth': 10, 'min_samples_split': 100, 'min_samples_leaf': 2, 'bootstrap': True}",COMPLETE
944,0.0,2024-07-08 12:43:13.679126,2024-07-08 12:43:39.823122,0 days 00:00:26.143996,RandomForestClassifier,Normalize_L1_1,,"[1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1]","{'n_estimators': 2000, 'max_features': 'auto', 'max_depth': 1000, 'min_samples_split': 2, 'min_samples_leaf': 1, 'bootstrap': False}",COMPLETE
945,0.2064516128366285,2024-07-08 12:43:14.490145,2024-07-08 12:43:28.597137,0 days 00:00:14.106992,XGBClassifier,Normalize_L2_1,,"[1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0]","{'n_estimators': 500, 'learning_rate': 10.0, 'max_depth': 7, 'min_child_weight': 10, 'subsample': 0.7, 'colsample_bytree': 1.0, 'gamma': 1.0, 'reg_alpha': 1.0, 'reg_lambda': 0.1}",COMPLETE
946,0.6870967739719042,2024-07-08 12:43:15.128139,2024-07-08 12:43:35.484124,0 days 00:00:20.355985,XGBClassifier,Normalize_L2_1,,"[0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1]","{'n_estimators': 500, 'learning_rate': 1.0, 'max_depth': 3, 'min_child_weight': 3, 'subsample': 0.5, 'colsample_bytree': 0.5, 'gamma': 0.0, 'reg_alpha': 0.1, 'reg_lambda': 0.1}",COMPLETE
947,0.5322580643444328,2024-07-08 12:43:15.443136,2024-07-08 12:43:46.005138,0 days 00:00:30.562002,RandomForestClassifier,StandardScaler,SMOTEENN,"[1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1]","{'n_estimators': 10, 'max_features': 'sqrt', 'max_depth': 1000, 'min_samples_split': 100, 'min_samples_leaf': 5, 'bootstrap': True}",COMPLETE
948,0.7903225803902184,2024-07-08 12:43:17.699126,2024-07-08 12:44:37.743156,0 days 00:01:20.044030,RandomForestClassifier,StandardScaler,,"[1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0]","{'n_estimators': 2000, 'max_features': None, 'max_depth': 10, 'min_samples_split': 50, 'min_samples_leaf': 2, 'bootstrap': True}",COMPLETE
949,0.7935483868407908,2024-07-08 12:43:18.953123,2024-07-08 12:43:35.241124,0 days 00:00:16.288001,RandomForestClassifier,Normalize_L1_1,,"[1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1]","{'n_estimators': 100, 'max_features': None, 'max_depth': None, 'min_samples_split': 50, 'min_samples_leaf': 100, 'bootstrap': True}",COMPLETE
950,0.7322580642799167,2024-07-08 12:43:19.732139,2024-07-08 12:43:31.319104,0 days 00:00:11.586965,XGBClassifier,Normalize_L2_1,,"[0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0]","{'n_estimators': 500, 'learning_rate': 1.0, 'max_depth': 9, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 0.7, 'gamma': 0.5, 'reg_alpha': 0.0, 'reg_lambda': 1.0}",COMPLETE
951,0.7935483868407908,2024-07-08 12:43:20.301146,2024-07-08 12:43:41.729138,0 days 00:00:21.427992,RandomForestClassifier,Normalize_L1_1,,"[1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1]","{'n_estimators': 100, 'max_features': 'sqrt', 'max_depth': 100, 'min_samples_split': 200, 'min_samples_leaf': 100, 'bootstrap': True}",COMPLETE
952,0.7774193545879292,2024-07-08 12:43:20.546140,2024-07-08 12:43:58.906130,0 days 00:00:38.359990,RandomForestClassifier,Normalize_L1_1,,"[1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1]","{'n_estimators': 500, 'max_features': None, 'max_depth': 1000, 'min_samples_split': 5, 'min_samples_leaf': 2, 'bootstrap': False}",COMPLETE
953,0.7967741932913631,2024-07-08 12:43:21.039139,2024-07-08 12:43:42.551124,0 days 00:00:21.511985,RandomForestClassifier,Normalize_L1_1,,"[1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1]","{'n_estimators': 200, 'max_features': 'sqrt', 'max_depth': 500, 'min_samples_split': 10, 'min_samples_leaf': 2, 'bootstrap': False}",COMPLETE
954,0.7935483868407908,2024-07-08 12:43:21.387123,2024-07-08 12:43:31.245139,0 days 00:00:09.858016,XGBClassifier,Normalize_L1_1,,"[1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1]","{'n_estimators': 10, 'learning_rate': 0.01, 'max_depth': 7, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 0.7, 'gamma': 0.0, 'reg_alpha': 1.0, 'reg_lambda': 0.0}",COMPLETE
955,0.7935483868407908,2024-07-08 12:43:21.742095,2024-07-08 12:43:36.104122,0 days 00:00:14.362027,RandomForestClassifier,Normalize_L1_1,,"[0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1]","{'n_estimators': 10, 'max_features': 'log2', 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 10, 'bootstrap': True}",COMPLETE
956,0.7935483868407908,2024-07-08 12:43:22.562138,2024-07-08 12:43:50.407137,0 days 00:00:27.844999,RandomForestClassifier,Normalize_L1_1,,"[0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1]","{'n_estimators': 100, 'max_features': 'sqrt', 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 100, 'bootstrap': False}",COMPLETE
957,0.5032258062892819,2024-07-08 12:43:23.110137,2024-07-08 12:44:06.650139,0 days 00:00:43.540002,RandomForestClassifier,Normalize_L1_1,SMOTEENN,"[0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0]","{'n_estimators': 2000, 'max_features': None, 'max_depth': None, 'min_samples_split': 50, 'min_samples_leaf': 100, 'bootstrap': False}",COMPLETE
958,0.7935483868407908,2024-07-08 12:43:23.331151,2024-07-08 12:43:39.900124,0 days 00:00:16.568973,RandomForestClassifier,Normalize_L1_1,,"[0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0]","{'n_estimators': 100, 'max_features': 'log2', 'max_depth': 10, 'min_samples_split': 50, 'min_samples_leaf': 100, 'bootstrap': False}",COMPLETE
959,0.483870967585848,2024-07-08 12:43:25.038122,2024-07-08 12:44:15.277127,0 days 00:00:50.239005,RandomForestClassifier,Normalize_L1_1,SMOTETomek,"[1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0]","{'n_estimators': 200, 'max_features': None, 'max_depth': 50, 'min_samples_split': 200, 'min_samples_leaf': 2, 'bootstrap': False}",COMPLETE
960,0.7967741932913631,2024-07-08 12:43:25.457121,2024-07-08 12:44:05.511140,0 days 00:00:40.054019,RandomForestClassifier,Normalize_L1_1,,"[0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0]","{'n_estimators': 1000, 'max_features': None, 'max_depth': None, 'min_samples_split': 200, 'min_samples_leaf': 1, 'bootstrap': True}",COMPLETE
961,0.493548386937565,2024-07-08 12:43:25.984145,2024-07-08 12:43:41.823126,0 days 00:00:15.838981,RandomForestClassifier,Normalize_L1_1,SMOTEENN,"[1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]","{'n_estimators': 10, 'max_features': 'log2', 'max_depth': None, 'min_samples_split': 100, 'min_samples_leaf': 50, 'bootstrap': True}",COMPLETE
962,0.7935483868407908,2024-07-08 12:43:26.165094,2024-07-08 12:43:58.414125,0 days 00:00:32.249031,RandomForestClassifier,Normalize_L1_1,,"[1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1]","{'n_estimators': 2000, 'max_features': 'sqrt', 'max_depth': 1000, 'min_samples_split': 5, 'min_samples_leaf': 100, 'bootstrap': True}",COMPLETE
963,0.5064516127398543,2024-07-08 12:43:26.255150,2024-07-08 12:44:09.134101,0 days 00:00:42.878951,RandomForestClassifier,Normalize_L1_1,SMOTEENN,"[0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1]","{'n_estimators': 2000, 'max_features': None, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 100, 'bootstrap': False}",COMPLETE
964,0.7935483868407908,2024-07-08 12:43:26.316139,2024-07-08 12:43:40.206124,0 days 00:00:13.889985,RandomForestClassifier,Normalize_L1_1,,"[1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1]","{'n_estimators': 50, 'max_features': None, 'max_depth': 500, 'min_samples_split': 50, 'min_samples_leaf': 50, 'bootstrap': True}",COMPLETE
965,0.0,2024-07-08 12:43:26.689145,2024-07-08 12:43:46.957130,0 days 00:00:20.267985,RandomForestClassifier,StandardScaler,KMeansSMOTE,,"{'n_estimators': 50, 'max_features': 'auto', 'max_depth': 200, 'min_samples_split': 50, 'min_samples_leaf': 5, 'bootstrap': False}",COMPLETE
966,0.0,2024-07-08 12:43:27.275124,2024-07-08 12:44:00.107126,0 days 00:00:32.832002,RandomForestClassifier,StandardScaler,KMeansSMOTE,,"{'n_estimators': 500, 'max_features': 'log2', 'max_depth': 100, 'min_samples_split': 2, 'min_samples_leaf': 10, 'bootstrap': False}",COMPLETE
