number,value,datetime_start,datetime_complete,duration,params_model,params_normTechnique,params_sampleTechnique,user_attrs_binIndices,user_attrs_hyperparams,state
12,0.0,2024-07-08 12:33:46.414923,2024-07-08 12:34:05.678014,0 days 00:00:19.263091,GradientBoostingClassifier,,ADASYN,,"{'n_estimators': 10, 'learning_rate': 0.01, 'max_depth': 7, 'min_samples_split': 10, 'min_samples_leaf': 5, 'subsample': 0.5, 'max_features': 'sqrt'}",COMPLETE
13,0.754838709433923,2024-07-08 12:33:46.473926,2024-07-08 12:34:05.806033,0 days 00:00:19.332107,KNeighborsClassifier,Normalize_L1_1,TomekLinks,"[1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0]","{'n_neighbors': 10, 'weights': 'distance', 'algorithm': 'kd_tree', 'leaf_size': 30, 'p': 1, 'metric': 'manhattan'}",COMPLETE
14,0.7258064513787721,2024-07-08 12:33:46.506926,2024-07-08 12:34:05.834036,0 days 00:00:19.327110,KNeighborsClassifier,Normalize_L2_1,TomekLinks,"[1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0]","{'n_neighbors': 10, 'weights': 'uniform', 'algorithm': 'auto', 'leaf_size': 60, 'p': 2, 'metric': 'minkowski'}",COMPLETE
15,0.2645161289469303,2024-07-08 12:33:46.551893,2024-07-08 12:34:03.543880,0 days 00:00:16.991987,XGBClassifier,Normalize_L2_0,SVMSMOTE,"[0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0]","{'n_estimators': 100, 'learning_rate': 10.0, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.7, 'colsample_bytree': 0.7, 'gamma': 0.0, 'reg_alpha': 0.0, 'reg_lambda': 1.0}",COMPLETE
16,0.0,2024-07-08 12:33:46.581912,2024-07-08 12:34:05.602986,0 days 00:00:19.021074,SVC,StandardScaler,RandomUnderSampler,"[0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1]","{'C': 1.0, 'kernel': 'sigmoid', 'degree': 2, 'gamma': '0.01', 'coef0': 0.5, 'shrinking': False, 'probability': False, 'class_weight': 'balanced', 'decision_function_shape': 'ovr'}",COMPLETE
17,0.6580645159167533,2024-07-08 12:33:46.613917,2024-07-08 12:33:56.698907,0 days 00:00:10.084990,KNeighborsClassifier,StandardScaler,TomekLinks,"[1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1]","{'n_neighbors': 7, 'weights': 'distance', 'algorithm': 'brute', 'leaf_size': 20, 'p': 1, 'metric': 'euclidean'}",COMPLETE
18,0.5419354836961499,2024-07-08 12:33:46.650923,2024-07-08 12:34:04.702927,0 days 00:00:18.052004,RandomForestClassifier,StandardScaler,SMOTETomek,"[0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0]","{'n_estimators': 500, 'max_features': 'sqrt', 'max_depth': None, 'min_samples_split': 100, 'min_samples_leaf': 2, 'bootstrap': True}",COMPLETE
19,0.0,2024-07-08 12:33:46.703932,2024-07-08 12:33:56.697880,0 days 00:00:09.993948,ExtraTreesClassifier,Normalize_L2_0,,"[1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0]","{'n_estimators': 50, 'max_features': 'auto', 'max_depth': 1000, 'min_samples_split': 10, 'min_samples_leaf': 5, 'bootstrap': False}",COMPLETE
20,0.0,2024-07-08 12:33:46.740922,2024-07-08 12:34:03.060882,0 days 00:00:16.319960,RandomForestClassifier,Normalize_Max_1,,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1]","{'n_estimators': 500, 'max_features': 'auto', 'max_depth': None, 'min_samples_split': 50, 'min_samples_leaf': 10, 'bootstrap': True}",COMPLETE
21,0.7387096771810613,2024-07-08 12:33:46.783923,2024-07-08 12:34:08.039119,0 days 00:00:21.255196,KNeighborsClassifier,RobustScaler,TomekLinks,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0]","{'n_neighbors': 7, 'weights': 'uniform', 'algorithm': 'auto', 'leaf_size': 60, 'p': 1, 'metric': 'manhattan'}",COMPLETE
22,0.41935483857440164,2024-07-08 12:33:46.814923,2024-07-08 12:33:59.139931,0 days 00:00:12.325008,XGBClassifier,Normalize_Max_0,NearMiss,"[0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0]","{'n_estimators': 100, 'learning_rate': 1.0, 'max_depth': 7, 'min_child_weight': 10, 'subsample': 0.7, 'colsample_bytree': 0.7, 'gamma': 1.0, 'reg_alpha': 0.0, 'reg_lambda': 0.1}",COMPLETE
23,0.35806451601352757,2024-07-08 12:33:46.859885,2024-07-08 12:34:13.144121,0 days 00:00:26.284236,BaggingClassifier,Normalize_L2_1,BorderlineSMOTE,"[1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1]","{'n_estimators': 200, 'max_samples': 0.5, 'max_features': 0.1, 'bootstrap': False, 'bootstrap_features': True}",COMPLETE
24,0.5870967740041623,2024-07-08 12:33:46.828944,2024-07-08 12:34:03.372880,0 days 00:00:16.543936,RandomForestClassifier,MinMaxScaler,SMOTEENN,"[0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0]","{'n_estimators': 10, 'max_features': 'log2', 'max_depth': 50, 'min_samples_split': 10, 'min_samples_leaf': 2, 'bootstrap': True}",COMPLETE
25,0.0,2024-07-08 12:33:46.934915,2024-07-08 12:34:08.047119,0 days 00:00:21.112204,GradientBoostingClassifier,Normalize_L1_1,NearMiss,"[0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0]","{'n_estimators': 50, 'learning_rate': 0.1, 'max_depth': 3, 'min_samples_split': 50, 'min_samples_leaf': 50, 'subsample': 0.5, 'max_features': 'auto'}",COMPLETE
26,0.0,2024-07-08 12:33:46.987941,2024-07-08 12:33:51.352885,0 days 00:00:04.364944,RandomForestClassifier,,TomekLinks,,"{'n_estimators': 100, 'max_features': None, 'max_depth': 1000, 'min_samples_split': 2, 'min_samples_leaf': 10, 'bootstrap': False}",COMPLETE
