Macro Precision,Macro Recall,Macro F1,Macro Accuracy,Macro Specificity,Micro Precision,Micro Recall,Micro F1,Micro Accuracy,Micro Specificity,Weighted Precision,Weighted Recall,Weighted F1,Weighted Accuracy,Weighted Specificity,TP,TN,FP,FN,Model,FS-Percentage,FS-Technique
0.180589744209102,0.18367369668229933,0.1821186656592614,0.2,0.9189373258406097,0.2,0.2,0.20000000000000004,0.2,0.92,0.1956614412341989,0.19999999999999998,0.19780693375009317,0.2,0.9083105842467071,[24 11  7  9 21 21  8  2  3  2 14],[496 487 482 480 485 498 500 565 567 571 481],[45 54 60 61 60 47 44 17 22 18 60],[45 58 61 60 44 44 58 26 18 19 55],RandomForestClassifier,5,f_classif
0.4033972226886812,0.39841939042125046,0.4008928548833008,0.4278688524590164,0.9420851872391086,0.4278688524590164,0.4278688524590164,0.4278688524590164,0.4278688524590164,0.9427868852459016,0.427269837458497,0.4278688524590163,0.4275691351571332,0.4278688524590164,0.9350682071711781,[60 47 13 18 29 27 16  5  4  9 33],[531 522 492 486 506 504 498 574 577 566 495],[10 19 50 55 39 41 46  8 12 23 46],[ 9 22 55 51 36 38 50 23 17 12 36],RandomForestClassifier,10,f_classif
0.4913985284168176,0.47093269436910445,0.4809479886278719,0.49836065573770494,0.9491856032885214,0.49836065573770494,0.49836065573770494,0.49836065573770494,0.49836065573770494,0.9498360655737705,0.5074589938069521,0.4983606557377049,0.502868674375406,0.49836065573770494,0.9426809804360312,[62 47 22 25 31 29 25  8  7  9 39],[526 529 500 492 515 517 487 576 578 571 503],[15 12 42 49 30 28 57  6 11 18 38],[ 7 22 46 44 34 36 41 20 14 12 30],RandomForestClassifier,15,f_classif
0.5060083521906193,0.4904038300690242,0.49808390218282844,0.5098360655737705,0.950297095407468,0.5098360655737705,0.5098360655737705,0.5098360655737705,0.5098360655737705,0.950983606557377,0.511149244820339,0.5098360655737705,0.5104918106992367,0.5098360655737705,0.9434319839083787,[63 46 23 21 28 26 35  7  9 11 42],[525 527 502 502 511 516 487 575 582 573 501],[16 14 40 39 34 29 57  7  7 16 40],[ 6 23 45 48 37 39 31 21 12 10 27],RandomForestClassifier,20,f_classif
0.5526313267886688,0.5305590596336934,0.5413703089325411,0.5262295081967213,0.9519089285172279,0.5262295081967213,0.5262295081967213,0.5262295081967213,0.5262295081967213,0.9526229508196721,0.5328325886889405,0.5262295081967212,0.5295104638746007,0.5262295081967213,0.944768705492784,[61 48 18 18 31 27 37 13 12 13 43],[525 525 499 501 510 515 488 581 581 574 512],[16 16 43 40 35 30 56  1  8 15 29],[ 8 21 50 51 34 38 29 15  9  8 26],RandomForestClassifier,25,f_classif
0.5923610311488283,0.5705487336038371,0.5812503195036955,0.5770491803278689,0.9570840353001899,0.5770491803278689,0.5770491803278689,0.5770491803278689,0.5770491803278689,0.9577049180327869,0.5803983242053588,0.5770491803278688,0.5787189067921243,0.5770491803278689,0.9508752079742205,[61 54 26 32 30 23 45 14 11 13 43],[526 526 513 501 507 516 508 581 582 574 508],[15 15 29 40 38 29 36  1  7 15 33],[ 8 15 42 37 35 42 21 14 10  8 26],RandomForestClassifier,30,f_classif
0.5869266622845385,0.5607563520723251,0.5735431298703965,0.5770491803278689,0.9571183376649408,0.5770491803278689,0.5770491803278689,0.5770491803278689,0.5770491803278689,0.9577049180327869,0.5823640838475341,0.5770491803278689,0.5796944499778809,0.5770491803278689,0.9512525339864796,[61 53 26 28 27 30 45 15  8 12 47],[528 525 506 502 515 510 517 582 581 571 505],[13 16 36 39 30 35 27  0  8 18 36],[ 8 16 42 41 38 35 21 13 13  9 22],RandomForestClassifier,35,f_classif
0.6001740421317656,0.579382452005098,0.5895950043741885,0.5754098360655737,0.9568696769686408,0.5754098360655737,0.5754098360655737,0.5754098360655737,0.5754098360655737,0.9575409836065574,0.5781140624012621,0.5754098360655737,0.5767587794507699,0.5754098360655737,0.9501566105894745,[62 53 21 26 31 28 43 16 11 15 45],[528 523 503 499 509 514 519 582 583 575 506],[13 18 39 42 36 31 25  0  6 14 35],[ 7 16 47 43 34 37 23 12 10  6 24],RandomForestClassifier,40,f_classif
0.5719900725142636,0.5499556593139482,0.5607564938778706,0.5540983606557377,0.9547507604894787,0.5540983606557377,0.5540983606557377,0.5540983606557377,0.5540983606557377,0.9554098360655737,0.5557152917249844,0.5540983606557377,0.5549056483051922,0.5540983606557377,0.9481600047285271,[60 53 20 25 25 26 46 13 11 13 46],[525 524 501 505 511 512 508 582 580 574 506],[16 17 41 36 34 33 36  0  9 15 35],[ 9 16 48 44 40 39 20 15 10  8 23],RandomForestClassifier,45,f_classif
0.5856873628719316,0.5688840184073851,0.5771634147934992,0.5737704918032787,0.956761964591195,0.5737704918032787,0.5737704918032787,0.5737704918032787,0.5737704918032787,0.9573770491803278,0.5737346448673541,0.5737704918032787,0.5737525677754048,0.5737704918032787,0.9506111186998661,[61 53 22 27 27 27 47 16  9 14 47],[527 523 506 505 508 512 516 582 581 573 507],[14 18 36 36 37 33 28  0  8 16 34],[ 8 16 46 42 38 38 19 12 12  7 22],RandomForestClassifier,50,f_classif
